Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,Menzioni,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000811,,,,,,2012,Brunello Vigna Piaggia,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,35-59,Sangiovese 100%,Tagliata al rosmarino,,87,,87,,na,Rosso fermo,14.5,7k,12 mesi in acciaio + 30 mesi in botte + 6 mesi in bottiglia,"Veste rubino trasparente. Profumi di mirto, ciliegia, mora, grafite, stecco  di liquirizia, pot-pourri di fiori secchi e cioccolato fondente. Bocca elegante con tannini ancora in evoluzione, freschezza piena e di soddisfazione, con un finale piacevolmente amaricante. Sosta per 12 mesi in acciaio, per 30 in legno e conclude il suo tragitto con 6 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000811,,,,,,2013,Brunello Vigna Piaggia,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,4,40-44,Sangiovese 100%,Lepre alla ghiotta,,90,,90,,na,Rosso fermo,14,7k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,"Livrea rubino vivace, con evidenti tracce granato sul bordo. Richiami olfattivi chiari e riconoscibili, con un inizio di incenso, gelée di mirtilli, corbezzolo  e viola mammola; si inseriscono poi bacche di ginepro, tabacco da pipa, vaniglia e mirto. In bocca è austero, con freschezza e tannini avvolgenti; persistente, con indizi sapidi in chiusura Maturazione in acciaio per 12 mesi,  cui seguono 30 mesi di sosta in botti  di grande dimensione e un anno di affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000811,,,,,,2014,Brunello Vigna Piaggia,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,4,40-44,Sangiovese 100%,Carrè di agnello ,,90,,90,,na,Rosso fermo,14,4k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,"Raggiante rubino con marcate sfumature granato. Il naso è dapprima accarezzato da intensi ricordi di ciliegia, lampone e caramello, poi si susseguono nette tracce ferrose, cuoio, eucalipto, pepe, cioccolato, incenso, e da ultimo legno di cedro. L'ingresso in bocca è deciso, corposo, sostenuto da una buona freschezza, il tannino è vivo ma non invadente; chiude lentamente sulla polvere di caffè. Riposa per 12 mesi in acciaio, per 30 mesi in botti e continua per 12 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000811-1,2.68,18,0.43,12,3.5,,Brunello Vigna Piaggia,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3★-4★,40-44,Sangiovese 100%,Petto di fagiano lardellato – Tagliata al rosmarino – Lepre alla ghiotta – Carrè di agnello ,,na,,na,,na,Rosso fermo,14,4k-7k,12 mesi in acciaio + 30 mesi in botte + 6-12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0001746,,,,,,2017,Vernaccia Di San Gimignano,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3,5-9,Vernaccia di San Gimignano 100%,Spaghetti allo scoglio,,86,,86,,na,Bianco fermo,13,77k,6 mesi in acciaio,"Tenue tonalità paglierino vivace. Al primo impatto presenta delicati sentori gessosi e di mela, proseguendo poi con tiglio, bergamotto e sambuco. L'ingresso al palato evidenzia la sapidità del vino, lasciando una caratteristica nota ammandorlata sul finale. Maturazione in acciaio per 6 mesi. ",,na,na,na,na,na,Italia,2,,,
,0001746,,,,,,2018,Vernaccia Di San Gimignano,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3,5-9,Vernaccia di San Gimignano 100%,Crostone di pane con burro acciughe e bietole,,85,,85,,na,Bianco fermo,13,77k,6 mesi in acciaio,"Luminoso abito paglierino trasparente. Emergono tipici sentori di fiori di acacia, camonnilla, iris, mela golden, melone e ananas, che si arricchiscono gradualmente di suggestioni di nepitella, origano, gesso, con leggeri refoli di erbe officinali sullo sfondo Bocca semplice, caratterizzata da una corretta componente acido-sapida che accompagna a un piacevole finale di lime. Fermenta e matura in acciaio sui propri lieviti per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0001746,,,,,,2019,Vernaccia Di San Gimignano,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3,5-9,Vernaccia di San Gimignano 100%,Insalatina tiepida di mare,,85,,85,,na,Bianco fermo,13,67k,6 mesi in acciaio,"Paglierino tenue e cristallino. Impatto olfattivo di mela golden e pietra focaia, seguite da erbe aromatiche, pesca bianca, pera, tiglio, iris, frutti tropicali, con cenni di pepe bianco, mandorla  e ventate salmastre. Bocca vibrante che colpisce per la sua intensità; la sapidità prende a braccetto la freschezza, rendendo la struttura saporita, in una progressione persistente dai ricordi di pompelmo. Permane in acciaio per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0001746,,,,,,2020,Vernaccia Di San Gimignano,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,2,5-9,Vernaccia di San Gimignano 100%,nd,,84,,84,,na,Bianco fermo,12.5,37k,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,00001746-1,1.13,9,1.22,28,2.8,,Vernaccia Di San Gimignano,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,2★-3★,5-9,Vernaccia di San Gimignano 100%,Spaghetti allo scoglio – Crostone di pane con burro acciughe e bietole – Insalatina tiepida di mare,,na,,na,,na,Bianco fermo,12.5,37k-77k,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0001745,,,,,,2017,Vernaccia Di San Gimignano La Gentilesca,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3,10-14,Vernaccia di San Gimignano 100%,nd,,86,,86,,na,Bianco fermo,13.5,3k,8 mesi in acciaio + 8 mesi in barrique,"Brillante color giallo paglierino tenue. Incipit olfattivo disposto su riconoscimenti di origano, maracuja, lime, pompelmo giallo, zucchero vanigliato, impreziositi da tratti di mandorla, tiglio, fieno, tè verde, sfumature di pesca e albicocca e gelée agli agrumi. La progressione gustativa è dominata da una energica freschezza; la discreta persistenza sfuma  su riverberi di rosmarino, agrume e burro  fuso. Fermenta e matura in acciaio sui propri lieviti per 7 mesi, a cui seguono altri 6 mesi di maturazione in barrique. ",,na,na,na,na,na,Italia,2,,,
,0001745,,,,,,2019,Vernaccia Di San Gimignano La Gentilesca,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3,10-14,Vernaccia di San Gimignano 100%,Risotto allo zafferano,,86,,86,,na,Bianco fermo,13.5,3k,8 mesi in acciaio + 8 mesi in barrique,"Paglierino lucente di buona trasparenza. Al naso presenta ricordi di frutto della passione, mela renetta e albicocca in confettura, poi camonmilla, fiori d'acacia e di sambuco, ginger, cumino, accenni di curcuma, erba tagliata, torba e santoreggia. Al sorso è avvolgente, morbido e sapido; la freschezza torna nello svolgersi della progressione gustativa a bilanciare le altre componenti, rendendo adeguata la persistenza con un finale di scorza di cedro. Matura per 8 mesi a contatto con i lieviti in barrique di rovere. ",,na,na,na,na,na,Italia,2,,,
,0001745,,,,,,2020,Vernaccia Di San Gimignano La Gentilesca,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3,10-14,Vernaccia di San Gimignano 100%,Pasta con le sarde,,86,,86,,na,Bianco fermo,12.5,3k,8 mesi in acciaio + 8 mesi in barrique,"Paglierino luminoso. L’impatto olfattivo rivela profumi di mela golden, banana, pompelmo, diospiro, iris, fiore di cappero e infi- ne ricordi di miele di acacia. Avvolge una morbidezza gustativa in giusto equilibrio con una vena fresca e sapida in un finale di media persistenza dai ritorni di lime. ",,na,na,na,na,na,Italia,2,,,
,00001745-1,1.02,8,0.64,14,3.0,,Vernaccia Di San Gimignano La Gentilesca,DOCG,Vernaccia Di San Gimignano,Abbazia Monte Oliveto,Toscana,3★,10-14,Vernaccia di San Gimignano 100%,Risotto allo zafferano – Pasta con le sarde,,na,,na,,na,Bianco fermo,12.5,3k,8 mesi in acciaio + 8 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0000744,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,3,25-29,Sangiovese 100%,Costolette d'agnello a scottadito,,86,,86,,na,Rosso fermo,15.5,12k,6 mesi in acciaio + 24 mesi in botte + 18 mesi in bottiglia,"Sfumatura luminosa di rosso granato. | Scansione olfattiva ineccepibile: ciliegia e viola in abbondanza segnano l’attacco, poi liquirizia, vaniglia, cannella, cacao, per evolvere con ricordi di pellame. | Mette in evidenza grande morbidezza e calore. Equilibratissimo in virtù di tannini levigati. È un Brunello di potenza, figlio  di un'annata molto calda. Vinificato in | acciaio, continua la maturazione in legni di grandi dimensioni per 2 anni e affina  in bottiglia per altri 18 mesi | ",,na,na,na,na,na,Italia,2,,,
,0000744,,,,,,2012,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,3,35-39,Sangiovese 100%,Fegatelli di maiale alla brace,,87,,87,,na,Rosso fermo,15.5,14k,6 mesi in acciaio + 24 mesi in botte + 24 mesi in bottiglia,"Rubino luminoso. Profilo olfattivo | balsamico e speziato, ancor prima che fruttato. Emergono vaniglia, tabacco, eucalipto, gelatina di frutta, mora, lampone, liquore al caffè, tamarindo, caramella mou. In bocca è largo e avvolgente, i tannini sono morbidi,  dalla grana leggermente polverosa. In chiusura resta il ricordo di ciliegia sotto spirito. Riposa per 24 mesi in botti da 600 e 2000 litri, e affina altri 18 mesi in bottiglia. | ",,na,na,na,na,na,Italia,2,,,
,0000744,,,,,,2013,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,4,35-39,Sangiovese 100%,Lombata al forno con salsa all'arancia,,90,,90,,na,Rosso fermo,14,11k,6 mesi in acciaio + 24 mesi in botte + 24 mesi in bottiglia,"Rosso granato trasparente e luminoso. Il profumo evoluto mette in evidenza bacche di goji, canditi e prugna, insieme a ricordi di petali di rosa, cannella, cacao e tabacco. In bocca è sapido,  ha buon corpo e ottimi tannini, fitti e setosi. Si distingue per una progressione scattante. Fermenta in acciaio e matura in botti di rovere francese da 2000 e 600 litri per 2 anni; affina per 18 mesi in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0000744,,,,,,2014,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,4,35-39,Sangiovese 100%,Petto d'anatra all'arancia,,90,,90,,na,Rosso fermo,14.5,7k,6 mesi in acciaio + 24 mesi in botte + 24 mesi in bottiglia,"Rosso granato trasparente. Ha un | profumo articolato, che spazia dalla fragranza di malva e glicine alle spezie rivelatrici della permanenza in legno, cannella e liquirizia in particolare. La componente fruttata è più timida ed emerge con ricordo di lampone e ribes nero. In bocca la freschezza pronunciata e i tannini discreti determinano un gusto scattante, quasi nervoso, corrispondente all'andamento climatico del millesimo. Nella chiusura si fanno protagoniste la sapidità e una persistenza apprezzabile. Fermenta in acciaio e matura per 2 anni in botti di varie dimensioni, da 6 a 20 | ettolitri, quindi affina per altri 2 anni in bottiglia. | ",,na,na,na,na,na,Italia,2,,,
,0000744,,,,,,2015,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,4,35-39,Sangiovese 100%,Stracotto di manzo con cipollotti,,90,,90,,na,Rosso fermo,15.5,22k,6 mesi in acciaio + 24 mesi in botte,"Manto granato molto luminoso. |  profumi potenti ed evoluti di frutta in confettura lasciano emergere anche sottobosco, sigaro toscano, chiodi di garofano e liquirizia, insieme a un pizzico di vaniglia. È decisamente avvolgente  e caldo al palato, sostenuto da una | maglia di tannini che si fondono nella progressione. Mette in evidenza intensi aromi fruttati. Dopo la fermentazione in acciaio matura per 2 anni in botti piccole e grandi e affina per lo stesso tempo in bottiglia. | ",,na,na,na,na,na,Italia,2,,,
,0000744,,,,,,2016,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,4,35-39,Sangiovese 100%,Pici al ragù di cinghiale,,89,,89,,na,Rosso fermo,15,22k,6 mesi in acciaio + 24 mesi in botte,"Rubino luminoso dai riflessi granato. Al naso si alternano ciliegia sotto spirito, tabacco e vaniglia a cui fanno da cornice nuance balsamiche di macchia mediterranea e resina. Al palato è am- pio, dotato di decisa spinta calorica ma saldamente sorretto dal- la freschezza e da un tannino ben estratto. Finale su spezie dolci e salsedine. ",,na,na,na,na,na,Italia,2,,,
,0000744-1,4.68,31,0.85,24,3.7,,Brunello,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,3★-4★,35-39,Sangiovese 100%,Costolette d'agnello a scottadito – Fegatelli di maiale alla brace – Lombata al forno con salsa all'arancia – Petto d'anatra all'arancia – Stracotto di manzo con cipollotti – Pici al ragù di cinghiale,,na,,na,,na,Rosso fermo,15,7k-22k,6 mesi in acciaio + 24 mesi in botte + 18-24 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000745,,,,,,2015,Brunello Riserva,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,3,40-44,Sangiovese 100%,nd,Riserva,86,,86,,na,Rosso fermo,15,1k,6 mesi in acciaio + 24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000745-1,0.34,2,0.05,2,3.0,,Brunello Riserva,DOCG,Brunello Di Montalcino,Agostina Pieri,Toscana,3★,40-44,Sangiovese 100%,nd,Riserva,na,,na,,na,Rosso fermo,15,1k,6 mesi in acciaio + 24 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0001863,,,,,,2014,Chianti Sanminiatello,DOCG,Chianti,Agrisole,Toscana,2,10-14,Sangiovese 80% – Canaiolo 10% – Colorino 10%,nd,,82,,82,,na,Rosso fermo,13.5,15k,3 mesi in cemento,,,na,na,na,na,na,Italia,2,,,
,0001863,,,,,,2015,Chianti Sanminiatello,DOCG,Chianti,Agrisole,Toscana,1,10-14,Sangiovese 80% – Canaiolo 10% – Colorino 10%,nd,,79,,79,,na,Rosso fermo,13.5,10k,3 mesi in cemento,,,na,na,na,na,na,Italia,2,,,
,0001863,,,,,,2016,Chianti Sanminiatello,DOCG,Chianti,Agrisole,Toscana,2,10-14,Sangiovese 80% – Canaiolo 10% – Colorino 10%,nd,,82,,82,,na,Rosso fermo,13.5,8k,3 mesi in cemento,,,na,na,na,na,na,Italia,2,,,
,0001863,,,,,,2017,Chianti Sanminiatello,DOCG,Chianti,Agrisole,Toscana,2,10-14,Sangiovese 80% – Canaiolo 10% – Colorino 10%,Pappardelle al ragù di coniglio,,82,,82,,na,Rosso fermo,14,6k,3 mesi in cemento,"Rubino trasparente. Esprime mora di rovo, fragolina di bosco, rosa canina e ribes rosso. Fresco e snello al palato, leggera trama tannica ben integrata, il finale sapido con ricordi fruttati Matura per 3 mesi in cemento e riposa 6 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,00001863-1,0.35,3,0.22,9,1.8,,Chianti Sanminiatello,DOCG,Chianti,Agrisole,Toscana,1★-2★,10-14,Sangiovese 80% – Canaiolo 10% – Colorino 10%,Pappardelle al ragù di coniglio,,na,,na,,na,Rosso fermo,14,6k-15k,3 mesi in cemento,,,na,na,na,na,na,Italia,1,,,
,0000796,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,Altesino,Toscana,3,35-39,Sangiovese 100%,Spezzatino di cervo ,,87,,87,,na,Rosso fermo,14.5,130k,30 mesi in botti di varie dimensioni,"Rubino trasparente e luminoso. Il naso è schietto, stuzzicato da sentori di lampone e ribes rosso in confettura, macchia mediterranea, petali di viola freschi, cacao, visciola, timo, arancia  e tamarindo. Al sorso mostra tutto il suo nerbo, dinamico e ottimamente bilanciato fra le varie componenti. Persistente finale fruttato. Per 12 mesi in acciaio e 30 in botte grande, prosegue con almeno 4 mesi in vetro. ",,na,na,na,na,na,Italia,2,,,
,0000796,,,,,,2012,Brunello,DOCG,Brunello Di Montalcino,Altesino,Toscana,5,30-34,Sangiovese 100%,Cosciotto di maialino in crosta di erbe aromatiche,,91,,91,,na,Rosso fermo,14.5,120k,30 mesi in botti di varie dimensioni,"Veste rubino con smaglianti sfumature che virano rapide al granato. ll ricco  e aristocratico bouquet si svela lentamente su ricordi di tabacco dolce e nuance minerali, poi si colgono sentori di liquirizia e salamoia d'olive, con intense fragranze di fiori rossi appassiti, ciliegia e prugna in confettura, timo e infine gianduia. Al sorso è raffinato e lascia emergere una dinamica struttura in un susseguirsi di sapori intensi che accompagnano l'equilibrio gustativo, facendo presagire un lungo futuro Riposa per 12 mesi in acciaio e per 30 in legni di varie grandezze, quindi affina per altri 4 mesi in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0000796,,,,,,2014,Brunello,DOCG,Brunello Di Montalcino,Altesino,Toscana,3,35-39,Sangiovese 100%,Tagliatelle al ragù di chianina,,87,,87,,na,Rosso fermo,14,110k,30 mesi in botti di varie dimensioni,"Rubino trasparente e vivo. L’impatto olfattivo rivela amarena, pot-pourri e sottobosco, seguiti da chiodi di garofano e cannella, su un intrigante sottofondo di mentuccia e incenso. Al sorso è indubbiamente fresco; la trama tannica di ottima fattura è ancora in evoluzione, ha bisogno di tempo per esprimersi compiutamente. Finale gustoso e persistente di cacao. Sosta per 30 mesi in rovere di Slavonia. ",,na,na,na,na,na,Italia,2,,,
,0000796,,,,,,2015,Brunello,DOCG,Brunello Di Montalcino,Altesino,Toscana,4,35-39,Sangiovese 100%,Piccione laccato al miele,,89,,89,,na,Rosso fermo,14,120k,30 mesi in botti di varie dimensioni,"Rubino vivace e luminoso. Al naso  è profondo e variegato; si colgono inizialmente profumi di mora di rovo, sciroppo di ribes rosso, mirtillo, fiore di sambuco e corbezzolo, che introducono essenze di sottobosco, cannella e chiodi di garofano, seguiti da legno di cedro, tabacco e nuance balsamiche  Al palato è composto, gustoso e ricco  di estratto, fresco e dotato di tannino vellutato ancora in evoluzione. Il sapore agrumato accompagna verso un epilogo persistente. Riposa per 30 mesi in legno ",,na,na,na,na,na,Italia,2,,,
,0000796-1,4.66,31,0.84,24,3.8,,Brunello,DOCG,Brunello Di Montalcino,Altesino,Toscana,3★-5★,35-39,Sangiovese 100%,Spezzatino di cervo  – Cosciotto di maialino in crosta di erbe aromatiche – Tagliatelle al ragù di chianina – Piccione laccato al miele,,na,,na,,na,Rosso fermo,14,110k-130k,30 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,1,,,
,0000797,,,,,,2011,Brunello Montosoli,DOCG,Brunello Di Montalcino,Altesino,Toscana,3,70-74,Sangiovese 100%,Arista al forno con le prugne,,87,,87,,na,Rosso fermo,14.5,15k,36 mesi in botte,"% Rubino vivace. L’impatto olfattivo è di frutti e fiori macerati, seguiti da oliva, muschio, refoli balsamici mentolati, spezie dolci, china e note minerali e salmastre. Coerente al gusto, in cui la mineralità e la frutta rossa sono protagoniste. Si concede pian piano al palato, mostrando una buona struttura e un'ottima capacità evolutiva. Dopo 8 mesi in acciaio, rimane altri 30 in legno grande e poi 6 in barrique ",,na,na,na,na,na,Italia,2,,,
,0000797,,,,,,2012,Brunello Montosoli,DOCG,Brunello Di Montalcino,Altesino,Toscana,4,70-74,Sangiovese 100%,Cinghiale in umido,,89,,89,,na,Rosso fermo,14.5,15k,36 mesi in botte,"Rubino vivo e intenso. l profilo olfattivo manifesta immediati aromi di caffè, cacao, cuoio, china, poi tamarindo, orzo, radice di liquirizia e sottobosco, ben integrati a richiami penetranti di prugna e mora in confettura, con finale di tracce terrose. All’assaggio è potente e saporito, munito di una struttura calda e imponente. La muscolosa personalità sostiene e amplifica in bocca il sapore persistente di ciliegia sotto spirito e polvere di cacao. Dopo aver riposato per 8 mesi in acciaio e 36 in botti di rovere, sosta altri 4 mesi in vetro. ",,na,na,na,na,na,Italia,2,,,
,0000797,,,,,,2014,Brunello Montosoli,DOCG,Brunello Di Montalcino,Altesino,Toscana,3,70-74,Sangiovese 100%,Filetto con salsa al tartufo,,87,,87,,na,Rosso fermo,14,10k,36 mesi in botte,"Rubino dalle sfumature granato. Intenso e immediatamente espressivo, svela memorie di ciliegia, ribes e mirtillo  in confettura, completate da viola e  rosa essiccate, tamarindo, humus, cacao e pepe. Al gusto è avvolgente  e saporito, ha carattere e intensità; spiccano l'apporto dell'acidità e il calore, completati dall'elegante trama tannica. Chiusura persistente al sapor di agrume. Passaggio in legno per 30 mesi ",,na,na,na,na,na,Italia,2,,,
