Categoria-1,Ref,Tipologia,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002162,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2016,Les Cretes,Valle D'Aosta Bianco Neige D'Or,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,60-64,Petite Arvine 60% – Pinot Grigio 40%,14,3k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0002162,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2017,Les Cretes,Valle D'Aosta Bianco Neige D'Or,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,60-64,Petite Arvine 60% – Pinot Grigio 40%,13.5,3k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0002162,Bianco Fermo,,,,,,3,86,3,86,3,86,2018,Les Cretes,Valle D'Aosta Bianco Neige D'Or,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,60-64,Petite Arvine 60% – Pinot Grigio 40%,13.5,2k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0002162-1,Bianco Fermo,1.02,75,1.21,39,3.0,3★,86.0,3★,86.0,3★,86.0,,Les Cretes,Valle D'Aosta Bianco Neige D'Or,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,60-64,Petite Arvine 60% – Pinot Grigio 40%,13.5,2k-3k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002149,Bianco Fermo,,,,,,4,90,4,90,nd,nd,2015,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,13,7k,nd,6 mesi in acciaio,"| Paglierino tenue con nitidi riflessi verdolini Naso elegante e irreprensibile, dove l’evidente componente minerale di silice si accompagna a erbe di montagna, buccia di cedro, erica  | essiccata, menta piperita e muschio, con stuzzicanti effluvi marini e iodati nel finale. Palato estremamente fresco e fragrante, con un solerte guizzo sapido in chiusura a prolungarne la persistenza. Matura in acciaio per 5 mesi, segue un breve affinamento di 3  | mesi in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0002149,Bianco Fermo,,,,,,4,90,4,90,nd,nd,2016,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,13,8k,Trota al forno con vellutata di patate e toma,6 mesi in acciaio,"Colore del ghiacciaio, e come esso vivace e luminoso. Espressione del territorio, il naso è sottile ed elegante, estremamente fresco di erbe di montagna e sensazioni minerali che evocano la roccia erosa dai ghiacciai. Accanto, note fragranti di mela verde e accenni di fiori bianchi. In bocca l'ingresso è teso, di ottima corrispondenza; un'eccellente scia sapida sorregge il sorso e lo conduce a una chiusa garbata, delicatamente persistente. ",,na,na,na,na,na,Italia,2,,,
,0002149,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2018,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,20-24,Prie Blanc 100%,12,10k,Trota gratinata,6 mesi in acciaio,"| Giallo paglierino trasparente e luminoso dai riflessi verdolini. Naso delicato dalla spiccata mineralità: apre con profumi di erbe di montagna, felce, humus, fiori di campo e zagara,; rivela poi sentori agrumati di cedro e pompelmo, per terminare con l'anice stellato. All'assaggio è avvolgente, dotato di un sorprendente equilibrio, nel quale le note gliceriche contrastano la dotazione di freschezza e sapidità; si allunga sulle sensazioni aromatiche delle erbette montane. Riposa in botti di vetroresina per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0002149,Bianco Fermo,,,,,,3,87,3,87,nd,nd,2019,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,10k,Crudité di crostacei,6 mesi in acciaio,"Giallo paglierino luminoso. Al naso sprigiona un'immediata idea di pietra focaia, rivelando successivamente sensazioni appena accennate di idrocarburi, che si accompagnano a ricordi di arancia bionda e verbena. Sorso fresco e sapido, in cui prevalgono sentori citrini e di erbe montane. Sosta in vetroresina per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0002149,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2020,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,5k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002149-1,Bianco Fermo,3.68,100,5.88,100,3.6,3★-4★,nd,3★-4★,nd,nd,nd,,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,5k-10k,Trota al forno con vellutata di patate e toma – Trota gratinata – Crudité di crostacei,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002148,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2019,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,10k,Filetti di trota al timo,6 mesi in acciaio,"| Luminosa veste giallo paglierino. Esordio minerale di grafite, che vira su un bouquet di erbe, fiori di montagna e camomilla. Completano il corredo sfumature agrumate e di idrocarburi. Palato fresco, sapido, dal sorso pieno, equilibrato e dinamico, che conduce a un persistente finale punteggiato da sensazioni di lime. Fermenta per 5 giorni in botti di vetroresina, dove poi matura per 6 mesi, di cui  | uno sui lieviti ",,na,na,na,na,na,Italia,2,,,
,0002148,Bianco Fermo,,,,,,3,87,3,87,nd,nd,2020,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,2k,Charlotte di trota con ragù di verdure,6 mesi in acciaio,"Sfavillante verve paglierino. Intrigante l'annuncio di citronella, erbe di montagna e pesca bianca che lasciano spazio a schegge d'ardesia bagnata e quarzo. Assaggio fresco, sapido, che si al- lunga sui guizzi di cedro ed erbe aromatiche. ",,na,na,na,na,na,Italia,2,,,
,0002148-1,Bianco Fermo,1.34,36,2.14,36,3.5,3★-4★,88.0,3★-4★,88.0,nd,nd,,Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,2k-10k,Filetti di trota al timo – Charlotte di trota con ragù di verdure,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002155,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,Carlo Celegato,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,12,1k,Zuppetta di pesce di lago,6 mesi in acciaio,"Giallo paglierino delicato. Un bouquet che apre con toni erbacei per passare a profumi di rosmarino, agrumi e papaia. Avvolgente con sentori esotici e una accentuata mineralità quasi di salsedine. Un vino deciso, che emana freschezza e sapidità. Chiude con un finale agrumato e amaricante. Sosta per 6 mesi in botti di acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002155-1,Bianco Fermo,0.34,9,0.77,13,3.0,3★,nd,3★,nd,nd,nd,,Carlo Celegato,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,12,1k,Zuppetta di pesce di lago,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002152,Bianco Fermo,,,,,,2,82,2,82,nd,nd,2015,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,11.5,50k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002152,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2018,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,11.5,36k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002152,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2019,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,11.5,30k,Fritto misto di pesce,6 mesi in acciaio,"Giallo paglierino vivido, illuminato da intensi riflessi verdolini. L'olfatto è contraddistinto da un variopinto puzzle di sentori minerali, erbacei, fruttati e floreali, con esordio di mentuccia, per poi virare verso ananas e mela renetta. Chiude con leggeri cenni di piccoli fiori bianchi ed erba di campo su una scia minerale. I| sorso è pieno, scorrevole. Fresco e sapido. Lungo epilogo persistente, con ricordi di limone, mentolo e mela verde. Riposa per 6 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002152-1,Bianco Fermo,1.23,33,2.79,47,2.7,2★-4★,nd,2★-4★,nd,nd,nd,,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,11.5,30k-50k,Fritto misto di pesce,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002146,Bianco Fermo,,,,,,3,88,3,88,nd,nd,2019,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle La Piagne,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,25-29,Prie Blanc 100%,12,16k,nd,12 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002146-1,Bianco Fermo,0.34,9,0.34,6,3.0,3★,nd,3★,nd,nd,nd,,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle La Piagne,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,25-29,Prie Blanc 100%,12,16k,nd,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002158,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Landeren,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,20-24,Prie Blanc 100%,12,2k,Spaghetti alla carbonara,12 mesi in acciaio,"Giallo verdolino trasparente, dal perlage fine. Gentile nei profumi, con fragranze floreali e fruttate di lavanda, pompelmo, pesca bianca  e cedro; cenni di ardesia e cardo. l'attacco gustativo fresco e sapido riprende i ricordi olfattivi, rilasciandoli lentamente nel lungo finale agrumato. Sosta per 12 mesi sui lieviti in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002158-1,Bianco Fermo,0.34,9,0.42,7,3.0,3★,nd,3★,nd,nd,nd,,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Landeren,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,20-24,Prie Blanc 100%,12,2k,Spaghetti alla carbonara,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002154,Bianco Fermo,,,,,,2,82,2,82,nd,nd,2018,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Rayon,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,10k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002154-1,Bianco Fermo,0.12,3,0.18,3,2.0,2★,nd,2★,nd,nd,nd,,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Rayon,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,10k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002147,Bianco Fermo,,,,,,1,79,1,79,nd,nd,2015,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,12,6k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002147,Bianco Fermo,,,,,,2,82.5,1,79,3,86,2016,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,10-14,Prie Blanc 100%,12,6k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002147,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2020,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,11.5,16k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002147-1,Bianco Fermo,0.46,12,0.73,12,2.0,1★-3★,82.2,1★-3★,81.0,3★,86.0,,Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,11.5,6k-16k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002157,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,Crotta Delle Meurdzie,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,5k,Quenelles ai formaggi,6 mesi in acciaio,"Giallo paglierino tenue con riflessi verdolini. Al naso si rivela con sentori di erbe aromatiche  e camonmilla, seguiti da pesca bianca e  frutta esotica. Sorso fresco e sapido, al retrolfatto si ripresentano le erbe aromatiche, accompagnate da un gradevole coté agrumato. Staziona 6 mesi in vasche di acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002157-1,Bianco Fermo,0.34,9,0.54,9,3.0,3★,nd,3★,nd,nd,nd,,Crotta Delle Meurdzie,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,5k,Quenelles ai formaggi,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002151,Bianco Fermo,,,,,,2,83,2,83,nd,nd,2015,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,16k,Jambon de Bosses,6 mesi in acciaio,"Paglierino tenue. Spettro olfattivo composto da fiori di campo, cedro fresco e bergamotto, arricchito da nuance silicee e iodate. La bocca, tesa e sapida, conferma le sensazioni agrumate e il soffio minerale tipico valdostano arricchisce il sapore. Vinificazione in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002151,Bianco Fermo,,,,,,2,83,2,83,nd,nd,2016,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,33k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002151,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2018,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,13,28k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002151,Bianco Fermo,,,,,,3,86.5,3,85,3,88,2019,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,19k,Salmerino all'aneto,6 mesi in acciaio,"Giallo verdolino di grande luminosità. Incipit ‘odoroso minerale che sviluppa richiami  di grafite; seguono sentori di timo, erbe di montagna, biancospino, pera williams, agrumi e sbuffi di pepe bianco. All'assaggio si rivela netto e terso, fresco, con intense tracce sapide. Si allunga prima di congedarsi su apprezzabili indizi aromatici. Riposo di 6 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002151-1,Bianco Fermo,0.69,19,1.10,19,2.3,2★-3★,84.1,2★-3★,83.8,3★,88.0,,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12,16k-33k,Jambon de Bosses – Salmerino all'aneto,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002153,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2013,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle 20,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,30-34,Prie Blanc 100%,12,1k,Tartare di trota salmonata,12 mesi in acciaio + 68 mesi in bottiglia,"Paglierino intenso con riflessi dorati. Ricco nei profumi di mela renetta, fiori di ginestra, cedro, pesca gialla e un ricordo di miele millefiori Pietra focaia e grafite completano il quadro, su uno sfondo quasi fumé. Dinamico lo sviluppo in bocca, con un sorso pieno e ben distribuito, tra sensazioni di erbe aromatiche e frutta che indugiano a lungo. Finale appagante e durevole, fatto di sale e pompelmo rosa. Maturazione per 12 mesi in acciaio sulle fecce fini, poi 68 mesi | di affinamento in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0002153-1,Bianco Fermo,1.00,27,0.85,14,4.0,4★,nd,4★,nd,nd,nd,,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle 20,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,30-34,Prie Blanc 100%,12,1k,Tartare di trota salmonata,12 mesi in acciaio + 68 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0002160,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2014,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,20-24,Prie Blanc 100%,13,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002160,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2015,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,20-24,Prie Blanc 100%,13,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002160,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2016,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12.5,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002160,Bianco Fermo,,,,,,3,88,nd,nd,3,88,2018,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12.5,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002160-1,Bianco Fermo,0.91,25,1.45,25,2.5,2★-3★,nd,2★-3★,nd,3★,nd,,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,15-19,Prie Blanc 100%,12.5,2k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002159,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2014,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Sette Scalinate Carlo Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,70-74,Prie Blanc 100%,13,1k,Insalatina di farro e gamberi,6 mesi in acciaio,"Paglierino intenso e luminoso. Naso elegante di mela renetta, susina gialla, fiori di camomilla lievernente essiccati, succo di lime e piante officinali. Lunga la progressione gustativa,  con le componenti fresco-sapide in pregevole evidenza su un sorso di ampia durata. Vinificazione condotta esclusivamente in acciaio con 6 mesi di maturazione. ",,na,na,na,na,na,Italia,2,,,
,0002159,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2015,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Sette Scalinate Carlo Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,70-74,Prie Blanc 100%,13,1k,Risotto integrale alla zucca,12 mesi in acciaio,"Giallo paglierino con vividi riflessi dorati. Incipit balsamico seguito da note di mela golden,  fiori gialli di montagna e sensazioni minerali  di ardesia bagnata. Attacco gustativo teso e sapido, ben supportato da note fruttate. Finale persistente e ammandorlato. Sosta per 10 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002159,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2016,Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Sette Scalinate Carlo Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,,DOC,Valle D'Aosta,70-74,Prie Blanc 100%,13.5,1k,Aragosta alla catalana,12 mesi in acciaio,"Color giallo paglierino lucente. Profumi floreali che ammantano le narici, insieme a cenni eleganti di frutta tropicale, ananas e mango. Ricordi di erba tagliata e mentuccia nel finale. Sapido e gustoso all'assaggio, il sorso rivela piacevoli ritorni citrini di bergamotto e cedro. Riposa per 12 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
