Categoria-1,Ref,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Alcol,Prezzo,Tipologia,Composizione,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002048,,,,,,3,2010,Nera,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,15k,Fiorentina ,3 mesi di appassimento + 6 mesi in acciaio + 18 mesi in botte,"Granato limpido. Consistente. All'olfatto emergono profumi di ciliegia, mora di gelso, ribes, prugna in confettura, con nuance di violetta e rosa, su un tappeto speziato di tabacco biondo, noce moscata e cannella, Molto elegante in bocca, dove rimane agile e diretto nonostante potenza e struttura. Coerenti i rimandi retrolfattivi. Persistenza duratura. Le uve appassiscono per circa 3 mesi in fruttaio,  il vino matura poi per 18 mesi in botti di rovere di Slavonia da 35 ettolitri e affina per un anno in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002048,,,,,,4,2011,Nera,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,15k,Brasato di manzo con polenta grigliata,3 mesi di appassimento + 6 mesi in acciaio + 18 mesi in botte,"Riflessi aranciati screziano il granato, limpido e trasparente. Ventaglio olfattivo con sentori di prugna, ciliegia sotto spirito, pepe nero e noce moscata, polvere di cacao e un lieve cenno  di incenso. In chiusura sottobosco e fungo essiccato. Il tannino è integrato e vellutato. Ottimi il corpo e l'equilibrio. Lunghissimo in bocca con finale di confettura di prugne e cioccolato e caffè. Appassimento per 3 mesi sui graticci e maturazione in botte di rovere di Slavonia da 35 ettolitri per 18 mesi ",,na,na,na,na,na,Italia,2,,,
,0002048,,,,,,3,2013,Nera,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,15k,Capriolo in umido con polenta,3 mesi di appassimento + 6 mesi in acciaio + 18 mesi in botte,"Granato classico con riflessi aranciati. Naso cupo di confettura di more, fava di cacao, chiodi di garofano, polvere di caffè, pepe nero, caramello, miele di castagno e liquirizia. La copiosa dotazione calorica è temperata da tannini vivaci ed esuberanti, sostenuti anche da un'eloquente sapidità. Nella corrispondenza gusto-olfattiva ritornano gli accenni speziati. Dopo 3 mesi di appassimento sui graticci, fermenta in acciaio e matura per 18 mesi in botti di rovere di Slavonia da 35 ettolitri. ",,na,na,na,na,na,Italia,2,,,
,0002048,,,,,,3,2015,Nera,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,16k,Tzigoiner di manzo con patate saltate,3 mesi di appassimento + 6 mesi in acciaio + 18 mesi in botte,"Manto rosso granato di viva lucentezza Esordisce con profumi di cassis, mirtillo, mora di gelso e chinotto, affiancati a un bouquet di fiori rossi, alloro, mirto, cardamomo e radice di liquirizia. L'impatto in bocca è pieno e avvolgente, giocato su un equilibrio a tinte forti, nel quale l'imponenza della struttura e della sensazione pseudocalorica non pregiudica la bevibilità, grazie al deciso tannino e all'acidità. Uve appassite 3 mesi in fruttaio, poi 18 mesi di maturazione in botti di rovere e un anno in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002048,,,,,,4,2016,Nera,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,24k,,3 mesi di appassimento + 6 mesi in acciaio + 18 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,00002048-1,3.02,28,0.59,23,3.4,3★-4★,,Nera,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,15k-24k,Fiorentina  – Brasato di manzo con polenta grigliata – Capriolo in umido con polenta – Tzigoiner di manzo con patate saltate,3 mesi di appassimento + 6 mesi in acciaio + 18 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002049,,,,,,4,2015,Nino Negri,Sforzato Di Valtellina Sfursat 5 Stelle,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15.5,60-69,Rosso Fermo,Nebbiolo 100%,25k,Spezzatino di manzo con porcini e polenta,20 mesi in barrique,"Granato cristallino con un leggero orlo aranciato. Intense nuance di mirtilli e prugna in confettura, una sorprendente rivelazione di zenzero e zucca, poi spezie, chiodi di garofano e pepe in grani, erbe officinali e richiami di funghi secchi. In bocca è intenso, esplosivo, dotato di vivace freschezza e tannino smussato. Decisamente persistente, regala ricordi di spezie dolci e sottobosco. Dopo un appassimento naturale delle uve in fruttaio, riposa per 20 mesi in barrique di rovere francese. ",,na,na,na,na,na,Italia,2,,,
,0002049,,,,,,4,2016,Nino Negri,Sforzato Di Valtellina Sfursat 5 Stelle,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,16,60-69,Rosso Fermo,Nebbiolo 100%,25k,Polenta con brasato,20 mesi in barrique,"Limpido e consistente rosso granato.  Bouquet che esordisce su pot-pourri di fiori rossi e visciole, cui seguono pepe nero, caffè macinato, tabacco scuro in foglie, bacca di vaniglia e foglie di menta. Il sorso non delude le aspettative: pieno, ricco e appagante, sapido, di viva freschezza e tannino in via di maturazione; instancabile persistenza di frutto in confettura scandita da rintocchi speziati. Appassimento naturale in fruttaio e riposo di 20 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002049,,,,,,5,2017,Nino Negri,Sforzato Di Valtellina Sfursat 5 Stelle,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,14,65-69,Rosso Fermo,Nebbiolo 100%,25k,Sella di capretto con salsa ai mirtilli,20 mesi in barrique,"Luminoso rubino trasparente. Il bouquet sprigiona un effluvio floreale di rosa damascena, iris, peonia, lavanda; seguono decisi rimandi di marasca, fragola e lampone, ammantati da stuzzicanti aliti di pepe e chiodi di garofano. Il sorso porta con sé calore e morbidezza, ma conserva una straordinaria eleganza grazie a freschezza, sapidità e tannini perfettamente integrati, che ne rendono la beva appagante e scorrevole. Finale interminabile  di frutta in confettura ed echi balsamici. Appassimento naturale delle uve in fruttaio per 3 mesi. Si eleva per 20 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002049,,,,,,5,2018,Nino Negri,Sforzato Di Valtellina Sfursat 5 Stelle,Sforzato Di Valtellina,,DOCG,Lombardia,93,,93,,na,16,65-69,Rosso Fermo,Nebbiolo 100%,25k,Sella di capriolo con polenta al casera,18 mesi in barrique,"Granato lucente. Fascinoso e intrigante al naso, di rimarchevo- le complessità: sentori di sottobosco, cedro, cocomero, mela cotta, mora di gelso, seguiti da vaniglia, sandalo, tabacco dolce, petali di rosa, pepe e menta. Al palato è avvolgente, con tannini levigati e un perfetto equilibrio fresco-sapido. Lungo.",,na,na,na,na,na,Italia,2,,,
,00002049-1,7.97,73,1.09,43,4.5,4★-5★,,Nino Negri,Sforzato Di Valtellina Sfursat 5 Stelle,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,16,65-69,Rosso Fermo,Nebbiolo 100%,25k,Spezzatino di manzo con porcini e polenta – Polenta con brasato – Sella di capretto con salsa ai mirtilli – Sella di capriolo con polenta al casera,18-20 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002050,,,,,,5,2013,Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,Sforzato Di Valtellina,,DOCG,Lombardia,93,,93,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,30k,Bitto stravecchio,24 mesi in botte grande,"Granato limpido. Emerge frutta in confettura, soprattutto ciliegia e mora di rovo. Poi petali di viola, rosa e peonia, e a seguire il dispiegarsi delle erbe e delle spezie. Intrigante l'accenno amaricante di rabarbaro e china. La bocca  è sostanziosa con riconoscibile presenza  di alcol e tannino. La potenza del vino si esprime comunque in finezza sino al lungo finale. Appassimento delle uve in cassette, fermentazione in acciaio e maturazione di 2 anni in botte grande di rovere da 50 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002050,,,,,,5,2015,Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,25k,Bocconcini di manzo con frutta secca,24 mesi in botte grande,"Colore rubino con screziature granato, consistente. Ventaglio olfattivo contrassegnato da sentori minerali di leggera grafite, accenni balsamici, frutta in composta tra cui spiccano prugna e tamarindo, in presenza di cenni boisé e vanigliati. Dotato di vivace freschezza, al palato esprime intensità e persistenza,; il tannino è vivo e vibrante, per una lunghezza gustativa slanciata sulle sensazioni tostate. Da consegnare ai posteri per la notevole prospettiva in chiave evolutiva. Riposa per 24 mesi in botti di rovere francese da 50 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002050,,,,,,5,2016,Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,16,40-44,Rosso Fermo,Nebbiolo 100%,25k,Fagiano alle castagne,20 mesi in botte grande,"Trasparente e luminoso granato, consistente.  Il ventaglio olfattivo spazia da petali essiccati  di rosa e viola ad amarene sotto spirito, in un turbinio di spezie e balsamicità: pepe nero, chiodi di garofano, tamarindo, china e resina di pino. L'ingresso in bocca è tanto potente quanto equilibrato; il tannino è perfettamente fuso nella struttura materica e concentrata del frutto in confettura, ravvivato da un interminabile finale di spezie dolci ed eucalipto. Appassimento naturale delle uve in fruttaio e maturazione di 20 mesi in botti grandi di rovere. ",,na,na,na,na,na,Italia,2,,,
,0002050,,,,,,4,2017,Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15,40-44,Rosso Fermo,Nebbiolo 100%,25k,Spezzatino con polenta di grano saraceno,20 mesi in botte grande,"Smagliante granato lucente. Rivela subito grande complessità, intrecciando legno di sandalo e carcadè a una rosa in appassimento, liquirizia e cannella, ciliegie sotto spirito,  su uno sfondo lievemente etereo. Piena la corrispondenza gusto-olfattiva, che si muove su un sottile filo di freschezza e tannini in grado di esaltare l'assaggio pur lasciando immutate le ricche e già avvertite sensazioni speziate.  Le uve appassiscono in fruttaio per 3 mesi; fermenta in acciaio e matura per 20 mesi in botti grandi di rovere francese da 50 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002050,,,,,,4,2018,Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,16,45-49,Rosso Fermo,Nebbiolo 100%,25k,,15 mesi in botte grande,,,na,na,na,na,na,Italia,2,,,
,00002050-1,10.95,100,2.13,83,4.6,4★-5★,,Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,16,45-49,Rosso Fermo,Nebbiolo 100%,25k-30k,Bitto stravecchio – Bocconcini di manzo con frutta secca – Fagiano alle castagne – Spezzatino con polenta di grano saraceno,15-24 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0002051,,,,,,3,2012,Plozza,Sforzato Di Valtellina Blackedition,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,15,20-24,Rosso Fermo,Nebbiolo 100%,50k,Spezzatino di cervo con polenta,3 mesi di appassimento + 28 mesi in barrique e botte grande,"Granato con riflessi lievemente aranciati Profuma di liquirizia, china, rabarbaro, visciola e incenso, con echi di tostature bionde. La potenza del sorso non pregiudica la beva, con riuscito connubio di tannino, freschezza e sapidità. Appassimento naturale per 3 mesi, passaggio di 8 mesi in barrique e di 24 mesi in botti di castagno. ",,na,na,na,na,na,Italia,2,,,
,0002051,,,,,,3,2013,Plozza,Sforzato Di Valtellina Blackedition,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,15.5,20-24,Rosso Fermo,Nebbiolo 100%,50k,Capriolo con polenta e funghi,3 mesi di appassimento + 28 mesi in barrique e botte grande,"Granato limpido e consistente. Sprigiona intense nuance di rosa e violetta appassite, ciliegia e susina rossa in confettura che evolvono in speziatura dolce con ricordi di vaniglia, tabacco biondo, caramello, cioccolato e caffè. Bocca di grande potenza, combattuta fra tenore alcolico e tannini decisi, risolta da un finale sapido e polposo di frutta rossa. Appassimento naturale di 3 mesi, poi 8 mesi in barrique e 2 anni in botti di castagno. ",,na,na,na,na,na,Italia,2,,,
,0002051,,,,,,4,2014,Plozza,Sforzato Di Valtellina Blackedition,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15.5,20-24,Rosso Fermo,Nebbiolo 100%,50k,Capriolo in umido,3 mesi di appassimento + 28 mesi in barrique e botte grande,"Granato compatto e consistente. Intensi profumi di rosa damascena, violetta, scorza di arancia, humus, sottobosco, menta, felce, eucalipto, noce moscata e anice stellato. Impatto gustativo di grande struttura, ben equilibrato dalla freschezza, che dona  una soddisfacente bevibilità; tannino levigato e raffinato; persistenza infinita dai ricordi balsamici e di ribes nero. Ancora giovane, migliorerà sicuramente col tempo. Appassimento per 3 mesi in graticci e cassette, riposa per 8 mesi in barrique e 24 in botte di castagno da 100 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002051,,,,,,4,2015,Plozza,Sforzato Di Valtellina Blackedition,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,16.5,25-29,Rosso Fermo,Nebbiolo 100%,50k,Storico ribelle stagionato,3 mesi di appassimento + 15 mesi in botte,"Granato compatto e consistente. Intensi profumi di rosa damascena, violetta, scorza di arancia, humus, sottobosco, menta, felce, eucalipto, noce moscata e anice stellato. Impatto gustativo di grande struttura, ben equilibrato dalla freschezza, che dona  una soddisfacente bevibilità; tannino levigato e raffinato; persistenza infinita dai ricordi balsamici e di ribes nero. Ancora giovane, migliorerà sicuramente col tempo. Appassimento per 3 mesi in graticci e cassette, riposa per 8 mesi in barrique e 24 in botte di castagno da 100 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002051,,,,,,4,2016,Plozza,Sforzato Di Valtellina Blackedition,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15.5,25-29,Rosso Fermo,Nebbiolo 100%,50k,Stufato di cavallo,3 mesi di appassimento + 15 mesi in botte,"La nuance rosso granato suggerisce un ampio ventaglio olfatti- vo che si rivela ricco di viola e rododendro, prugna e frutti rossi in confettura, e poi anice, finocchietto, ginepro, aghi di pino e ibi- sco. Tannino levigato, ottima beva e grande freschezza. Finale di spessore e lunga memoria.",,na,na,na,na,na,Italia,2,,,
,00002051-1,3.68,34,1.24,49,3.6,3★-4★,,Plozza,Sforzato Di Valtellina Blackedition,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,25-29,Rosso Fermo,Nebbiolo 100%,50k,Spezzatino di cervo con polenta – Capriolo con polenta e funghi – Capriolo in umido – Storico ribelle stagionato – Stufato di cavallo,3 mesi di appassimento + 15-28 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002052,,,,,,4,2016,Rupi Del Nebbiolo,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,16,25-29,Rosso Fermo,Nebbiolo 100%,3k,Costolette di castrato in salsa di mirtilli,8 mesi in acciaio + 14 mesi in botte,"Rubino luminoso e compatto, consistente. Al naso libera penetranti ricordi di viola appassita, contornati da lamponi e fragole in confettura e punteggiati di pepe nero e anice stellato. Sorso equilibrato, potente e ricco, dove un tannino vellutato ed elegante smorza la corposa dotazione calorica; lungo finale arricchito  da una piacevole scia balsamica. Dopo l'appassimento naturale sui graticci, matura per 8 mesi in acciaio e altri 14 in botti grandi di rovere da 100 ettolitri. ",,na,na,na,na,na,Italia,2,,,
,0002052,,,,,,4,2017,Rupi Del Nebbiolo,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,16,25-29,Rosso Fermo,Nebbiolo 100%,3k,Battuta di chianina,12 mesi in acciaio + 18 mesi in botte,"Bel rosso granato. Dà il benvenuto un sontuoso profumo di fiori, viola e rosa canina. Molta frutta, con ciliegia, mora, prugna. Am- pio il corredo di spezie tra cui chiodi di garofano, ginepro, pepe, cannella. Potente il corpo, piena e coerente la dinamica gustati- va, energico il finale.",,na,na,na,na,na,Italia,2,,,
,00002052-1,2.00,18,0.68,27,4.0,4★,,Rupi Del Nebbiolo,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,16,25-29,Rosso Fermo,Nebbiolo 100%,3k,Costolette di castrato in salsa di mirtilli – Battuta di chianina,8-12 mesi in acciaio + 14-18 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002053,,,,,,3,2014,Triacca,Sforzato Di Valtellina Il Monastero,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,6k,,2 mesi di appassimento + 12 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002053,,,,,,4,2015,Triacca,Sforzato Di Valtellina Il Monastero,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,6k,Brasato di manzo ai frutti rossi,2 mesi di appassimento + 12 mesi in barrique,"Rosso granato vivo e lucente. Al naso prevalgono i sentori balsamici e speziati: genziana, rabarbaro, ruta, poi cenere, legno di sandalo, anice stellato, cardamomo, tè rosso, scorza d'arancia, mora, ribes nero, prugna cotta, alloro, malva e iris. In bocca l'impatto è suadente, di perfetto equilibrio, con tannino ben integrato; lunga persistenza di spezie e frutta, coerente con l'olfatto. Appassimento in fruttaio per 2 mesi, poi sosta per 12 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002053,,,,,,3,2016,Triacca,Sforzato Di Valtellina Il Monastero,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,8k,Faraona arrosto alle erbe aromatiche,2 mesi di appassimento + 25 mesi in barrique e tonneau,"Tonalità rubino con scintille granato. Vero concentrato di sensazioni di grande intensità frutta sotto spirito, spezie, intriganti aromi  di tabacco, pellame e cioccolato fondente;  in ultimo ricordi di caffè e un lieve sbuffo di tamarindo. In bocca è appagante, con una traccia alcolica che seduce, e un ritmo scandito da sapidità, freschezza e un tannino smussato. Equilibrato e di lunga memoria, trascorre 25 mesi parte in barrique e parte in botte da 50 ettolitri. ",,na,na,na,na,na,Italia,2,,,
,0002053,,,,,,5,2017,Triacca,Sforzato Di Valtellina Il Monastero,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,15.5,35-39,Rosso Fermo,Nebbiolo 100%,8k,Risotto alle rape rosse noci e gorgonzola,2 mesi di appassimento + 12 mesi in botte,"Rosso granato con toni aranciati. La fitta trama floreale affianca espressioni di frutta nera sotto spirito. Spezie scure e cioccolato s'intrecciano a note balsamiche, alloro e scorza d’arancia candi- ta. Vibrante e avvolgente l'assaggio, tondo e levigato il tannino, lunga la persistenza.",,na,na,na,na,na,Italia,2,,,
,00002053-1,4.66,43,1.15,45,3.8,3★-5★,,Triacca,Sforzato Di Valtellina Il Monastero,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,35-39,Rosso Fermo,Nebbiolo 100%,6k-8k,Brasato di manzo ai frutti rossi – Faraona arrosto alle erbe aromatiche – Risotto alle rape rosse noci e gorgonzola,2 mesi di appassimento + 12-25 mesi in barrique e tonneau,,,na,na,na,na,na,Italia,1,,,
,0002054,,,,,,3,2013,Bettini,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15.5,35-39,Rosso Fermo,Nebbiolo 100%,10k,Capriolo in umido ai mirtilli,3 mesi di appassimento + 12 mesi in barrique,"Granato trasparente, di media densità, con profumi di fiori scuri, iris e viola in evidenza,  e petali di fiori essiccati. Al naso rimandi agrumati di chinotto e arancia sanguinella, poi un ventaglio di erbe aromatiche: timo, origano fresco, alloro, ginepro e rosmarino, fusi a coinvolgenti sensazioni di liquirizia, sottobosco e delicate speziature. In bocca sorprende  la vivacità del tannino, che tiene a bada l'imponente dotazione alcolica. Lungo finale. Appassimento delle uve per 3 mesi sui graticci; matura per un anno in legno piccolo. ",,na,na,na,na,na,Italia,2,,,
