Categoria-1,Ref,OLDVSCORE,RS,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000586,,,,,,5,2015,Casale Della Ioria,Cesanese Del Piglio Superiore Riserva Torre Del Piano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14,4k,Entrecote ai funghi porcini,8 mesi in botte + 6 mesi in bottiglia,"Le uve migliori selezionate in questo vero e proprio cru donano profondità e opulenza Ostenta signorilità già dal colore, con un rosso rubino attraversato da riverberi granato. La potenza olfattiva è declinata in una nutrita scansione di profumi, dalla rosa canina all'alloro, dal sandalo a cenni di zolfo e caramello, prima di cedere il passo a un soffio balsamico di eucalipto. Al primo sorso rivela la sua raffinata trama tannica, che genera  un sorprendente equilibrio e un finale dai lunghissimi ricordi balsamici. ",,na,na,na,na,na,Italia,2,,,
,0000586,,,,,,4,2016,Casale Della Ioria,Cesanese Del Piglio Superiore Riserva Torre Del Piano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,90,,90,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14,4k,Abbuoto,8 mesi in botte + 14 mesi in bottiglia,"Manto rubino con sfumature granato. l’essenza mediterranea detta il ritmo olfattivo, con profumi di mirto, frutta selvatica, bacche di ginepro, radici e timo su nuance di petali di rosa e ciliegia. Rimandi di cacao e torrefazione si alternano a esuberanti effluvi balsamici Denso, con fitta trama fenolica, in bocca lascia emergere sostanza e calore, freschezza sostenuta e gustosa sapidità. Durevole persistenza con lunghissimi echi di cioccolato e amarena. Ottime potenzialità evolutive.",,na,na,na,na,na,Italia,2,,,
,0000586,,,,,,5,2017,Casale Della Ioria,Cesanese Del Piglio Superiore Riserva Torre Del Piano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14,4k,Fiorentina alla brace,8 mesi in botte + 14 mesi in bottiglia,"Rosso rubino che vira su toni granato. Offre generosi sentori di ciliegia sotto spirito, ribes, lamponi e more che si fondono al timo e alle erbe aromatiche, sprigionando tipiche essenze balsamiche e ricordi di macchia mediterranea; lo impreziosiscono cenni di cacao, tabacco  e liquirizia, su un vivace sfondo di viola mammola e rosa. | tannini decisi ma setosi contribuiscono ad arricchire il corpo morbido e vellutato; la freschezza lo rende estremamente dinamico; finale ricco e persistente dal tono speziato. ",,na,na,na,na,na,Italia,2,,,
,0000586,,,,,,5,2019,Casale Della Ioria,Cesanese Del Piglio Superiore Riserva Torre Del Piano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,15,5k,Spalla arrosto con coratella,6 mesi in botte + 14 mesi in bottiglia,"Rubino compatto con luminosi cenni granato. L'ampio bouquet regala more di rovo, visciole sotto spirito, pot-pourri di rose e viole, insieme a cannella, vaniglia, cioccolato, sigaro toscano, cipria e lieve sottobosco. Fini sensazioni mentolate sul finale. Il sorso è nobile, morbido e avvolgente, di spiccata personalità, sostenutc da preziosi tannini perfettamente levigati Piacevole la freschezza, in mirabile equilibrio con la generosa dotazione alcolica. Lunga la scia aromatica, armonica e di ampio respiro. ",,na,na,na,na,na,Italia,2,,,
,0000586-1,12.93,72,3.28,56,4.8,4★-5★,,Casale Della Ioria,Cesanese Del Piglio Superiore Riserva Torre Del Piano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,na,,na,,na,Rosso fermo,20-24,Cesanese d'affile 100%,15,4k-5k,Garofolato di Veroli – Entrecote ai funghi porcini – Abbuoto – Fiorentina alla brace – Spalla arrosto con coratella,6 mesi in botte + 6-14 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000587,,,,,,2,2015,Casale Della Ioria,Cesanese Del Piglio Superiore Tenuta Della Ioria,Cesanese Del Piglio,Superiore,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,35k,nd,6 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000587,,,,,,3,2016,Casale Della Ioria,Cesanese Del Piglio Superiore Tenuta Della Ioria,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,35k,Cecapreti al sugo di capra e pecorino,6 mesi in botte,"Colore rubino vivido. Regala suggestioni fruttate e speziate con sentori di marasca, pepe nero, frutti di bosco, humus, tabacco dolce da pipa, alloro e radice di liquirizia. Delicata folata balsamica e resinosa in sottofondo. Al palato esibisce grinta tannica, è caldo e discretamente lungo. ",,na,na,na,na,na,Italia,2,,,
,0000587,,,,,,3,2017,Casale Della Ioria,Cesanese Del Piglio Superiore Tenuta Della Ioria,Cesanese Del Piglio,Superiore,DOCG,Lazio,87,,87,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,35k,Pappardelle al cinghiale,6 mesi in botte,"Rosso rubino. Si esprime con generosi tratti di frutti scuri su un letto di spezie dolci, vaniglia e di pepe bianco, accompagnati da una raffinata balsamicità; emergono accenni di tostatura, caffè e cioccolato. Sorso snello, animato da una freschezza scattante; corpo avvolgente  e tannini vellutati donano piacevolezza che richiama un secondo sorso. ",,na,na,na,na,na,Italia,2,,,
,0000587,,,,,,4,2018,Casale Della Ioria,Cesanese Del Piglio Superiore Tenuta Della Ioria,Cesanese Del Piglio,Superiore,DOCG,Lazio,90,,90,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,35k,Filetto di maiale confit con tartufo e arance,6 mesi in botte,"Rubino di grande spessore. Deliziano il  naso raffinate nuance floreali, more di rovo, confettura di prugna, visciole sotto spirito e spezie dolci; seguono preziosi sentori di legno di cedro, cioccolato e una sfumata percezione di sottobosco, permeata da soffi balsamici  Il gusto pieno e avvolgente, caratterizzato da freschezza, è sostenuto da pregiati e possenti tannini. Palato dinamico e armonioso, di lunga persistenza, su ricordi fruttati. ",,na,na,na,na,na,Italia,2,,,
,0000587-1,1.79,10,0.84,14,3.0,2★-4★,,Casale Della Ioria,Cesanese Del Piglio Superiore Tenuta Della Ioria,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,35k,Cecapreti al sugo di capra e pecorino – Pappardelle al cinghiale – Filetto di maiale confit con tartufo e arance,6 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000588,,,,,,3,2016,Casale Della Ioria,Cesanese Del Piglio Campo Novo,Cesanese Del Piglio,,DOCG,Lazio,85,,85,,na,Rosso fermo,10-14,Cesanese d'affile 100%,13,15k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000588,,,,,,2,2019,Casale Della Ioria,Cesanese Del Piglio Campo Novo,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,25k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000588-1,0.45,3,0.21,4,2.5,2★-3★,,Casale Della Ioria,Cesanese Del Piglio Campo Novo,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,35k,nd,?,,,na,na,na,na,na,Italia,1,,,
,0000589,,,,,,3,2015,Corte Dei Papi,Cesanese Del Piglio San Magno,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,5k,Filetto di manzo con marroni e cavolo rosso,12 mesi in barrique + 6 mesi in bottiglia,"Rubino impenetrabile. Al naso sfoggia profumi nitidi e variegati, con un esordio di mirtillo che vira poi su ginepro, pasta d'acciughe, ruggine, sbuffi di incenso, per sfumare in una scia di caffè e liquirizia. L'ingresso in bocca è austero, incentrato sul tannino possente, ancora un  po' ruvido ma ben incorporato nella dotazione calorica. ",,na,na,na,na,na,Italia,2,,,
,0000589,,,,,,3,2018,Corte Dei Papi,Cesanese Del Piglio San Magno,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,9k,Costolette di agnello alla brace,12 mesi in barrique + 6 mesi in bottiglia,"Rosso rubino lucente. Decise sensazioni mediterranee di mirto, ciliegia rossa, prugna, violetta, erbe di campo e tabacco biondo si uniscono a una nobile componente speziata Sorso di volume, domato da un tannino fitto e diffuso e da un'ottima freschezza. Lungo finale sapido. ",,na,na,na,na,na,Italia,2,,,
,0000589,,,,,,4,2019,Corte Dei Papi,Cesanese Del Piglio San Magno,Cesanese Del Piglio,,DOCG,Lazio,89,,89,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,7k,Abbaccio alle erbe aromatiche con patate,12 mesi in barrique + 6 mesi in bottiglia,"Profondo scrigno rubino dagli intensi profumi di viola, rosa rossa, ciliegia croccante e marasca che affiancano leggeri slanci di vaniglia e pepe nero. Di corpo, caldo, sorretto da buo- na acidità e da tannini piacevoli, ancora in evoluzione. Buona la persistenza sapida su echi speziati.",,na,na,na,na,na,Italia,2,,,
,0000589-1,1.68,9,0.43,7,3.3,2★-4★,,Corte Dei Papi,Cesanese Del Piglio San Magno,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,35k,Filetto di manzo con marroni e cavolo rosso – Costolette di agnello alla brace – Abbaccio alle erbe aromatiche con patate,12 mesi in barrique + 6 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000590,,,,,,2,2016,Corte Dei Papi,Cesanese Del Piglio Colle Ticchio,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14,35k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000590,,,,,,2,2017,Corte Dei Papi,Cesanese Del Piglio Colle Ticchio,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,37k,Maltagliati con pecorino e salsiccia,6 mesi in acciaio,"Rosso rubino con riflessi granato, luminoso. Olfatto avvolgente di frutta matura, fiori rossi appassiti e spezie dolci, con sprazzi balsamici su un fondo minerale. Rotondo in bocca,  con tannini morbidi e alcol integrato. Finale speziato. ",,na,na,na,na,na,Italia,2,,,
,0000590,,,,,,3,2019,Corte Dei Papi,Cesanese Del Piglio Colle Ticchio,Cesanese Del Piglio,,DOCG,Lazio,85,,85,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,26k,Fave e pecorino,6 mesi in acciaio,"Manto rubino netto e luminoso. All'olfatto emergono lievi toni vegetali, seguiti da nuance di viola, visciola, foglioline di menta e di  alloro. Beva gustosa, con piacevole timbro tannico e dosata freschezza; termina con una discreta persistenza dal retrogusto coerente.",,na,na,na,na,na,Italia,2,,,
,0000590,,,,,,3,2020,Corte Dei Papi,Cesanese Del Piglio Colle Ticchio,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,40k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000590-1,0.91,5,0.42,7,2.5,2★-3★,,Corte Dei Papi,Cesanese Del Piglio Colle Ticchio,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,26k-40k,Maltagliati con pecorino e salsiccia – Fave e pecorino,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000591,,,,,,3,2013,Corte Dei Papi,Cesanese Del Piglio Superiore Ottavocielo,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,20-24,Cesanese d'affile 85% – Cesanese 15%,15,3k,Cinghiale alle erbe,12 mesi in barrique e botte grande + 10 mesi in bottiglia,"Rosso granato. Esordio etereo di iodio e gommalacca, cui seguono ricordi di prugna in confettura, cioccolato e sbuffi mentolati. China, rabarbaro e ferruginosa mineralità chiudono  il quadro olfattivo. Bocca decisa, morbida e robusta. Vino non facile, altero, per chi ama le sfide. ",,na,na,na,na,na,Italia,2,,,
,0000591,,,,,,3,2018,Corte Dei Papi,Cesanese Del Piglio Superiore Ottavocielo,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15,3k,Spezzatino di manzo all ginepro,12 mesi in barrique e botte grande + 10 mesi in bottiglia,"Rosso rubino. Al naso apre con sensazioni di frutti rossi in confettura, integrate da cenni  di carrube, tabacco, tè nero e cioccolato; sul sottofondo aleggiano rimandi balsamici L'assaggio è morbido, con dotazione calorica imponente, irrorata da una fresca verve. Trama tannica ben integrata e di pregevole fattura.",,na,na,na,na,na,Italia,2,,,
,0000591-1,0.68,4,0.14,2,3.0,3★,,Corte Dei Papi,Cesanese Del Piglio Superiore Ottavocielo,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,25-29,Cesanese d'affile – Cesanese,15,3k,Cinghiale alle erbe – Spezzatino di manzo all ginepro,12 mesi in barrique e botte grande + 10 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000592,,,,,,2,2015,Federici,Cesanese Del Piglio Sapiens,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,15-19,Cesanese 100%,13.5,60k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000592,,,,,,2,2019,Federici,Cesanese Del Piglio Sapiens,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,15-19,Cesanese 100%,14,60k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000592-1,0.23,1,0.08,1,2.0,1★-3★,,Federici,Cesanese Del Piglio Sapiens,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,15-19,Cesanese 100%,14,60k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000605,,,,,,4,2013,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,90,,90,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,2k,Pecorino di fossa,15 mesi in barrique + 24 mesi in bottiglia,"Rubino con cenni granato. Al naso è un'esplosione di tamarindo, visciola, noce, foglia di tabacco. Soffi di zenzero, buccia d'arancia, cioccolato e cipria a completare. Bocca ricca, dinamica e fresca, con tannino levigato. Finale lungo a richiamare le sensazioni olfattive.",,na,na,na,na,na,Italia,2,,,
,0000605,,,,,,5,2015,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,2k,Fagiano tartufato,12 mesi in barrique + 24 mesi in bottiglia,"Rubino scuro a tratti impenetrabile. Caleidoscopio di sfumature odorose di bacche selvatiche, more e fini ricordi di viola mammola Intriganti le sensazioni fruttate di prugna secca e amarena, con ricordi di resina, per poi imboccare la via delle spezie, con cannella e macis intrecciate a sensazioni di caffè, tabacco dolce e una leggera balsamicità. l’abbraccio al palato è suadente e mostra una trama tannica fitta e vellutata; una scia sapida caratterizza  il lungo finale. ",,na,na,na,na,na,Italia,2,,,
,0000605,,,,,,5,2016,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,93,,93,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,2k,Tagliata di cervo al ginepro,12 mesi in barrique + 24 mesi in bottiglia,"Rubino luminoso e pieno. Ha stoffa da vendere. Profilo olfattivo imponente: il bouquet si esprime su morbide declinazioni fruttate di confettura di frutta scura. Seguono nuance  di sottobosco, liquirizia, spunti di cuoio,  per lasciare sul finale un alito balsamico di eucalipto e sentori eterei smaltati. All’assaggio conferma l'eleganza, solcata dalla trama tattile dei robusti tannini. La chiusura prolungata riecheggia sbuffi fruttati e tostati. Il tempo  non lo spaventa. ",,na,na,na,na,na,Italia,2,,,
,0000605,,,,,,5,2017,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,2k,Quaglie con guanciale croccante e tartufo,12 mesi in barrique + 24 mesi in bottiglia,"Manto rubino profondo con bordo granato. Potenza olfattiva data da riconoscimenti tipici di amarena sotto spirito e pot-pourri  di fiori secchi, arricchiti da spezie; seguono raffinate sensazioni di caffè e tabacco dolce, poi liquirizia e caramello, sandalo, cenni di sottobosco e cuoio; chiude la scena un refolo balsamico e smaltato. Il sorso è pieno ed elegante, dalla fitta trama tannica perfettamente integrata; finale interminabile con ritorni di eucalipto e frutta.",,na,na,na,na,na,Italia,2,,,
,0000605,,,,,,4,2018,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,90,,90,,na,Rosso fermo,15-19,Cesanese d'affile 100%,15,2k,Sella di agnello in crosta,12 mesi in barrique + 24 mesi in bottiglia,"Rubino fitto e intenso con bagliori purpurei Ricco l'impatto olfattivo, contrassegnato da profumi di amarena, more in confettura, pepe in grani, foglie di tabacco e caffè tostato. Seguono in chiusura echi balsamici e mentolati Possente e saporito al palato, con un tannino vigoroso e nobile che si coniuga all'intensa freschezza e alla voluminosa struttura. Lunghissimo il finale nei ricordi di liquirizia.",,na,na,na,na,na,Italia,2,,,
,0000605,,,,,,5,2019,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,93,,93,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14.5,2k,Spezzatino di manzo al pepe nero,12 mesi in barrique + 24 mesi in bottiglia,"Rubino con riflessi granato. Incipit vigoroso, piccoli frutti rossi in confettura, rosa canina, pepe nero, cui seguono guizzi tostati di caffè, tabacco, poi sottobosco e cuoio. Sorso attraente e caldo. I tannini morbidi e una piacevole acidità conferiscono il giusto equilibrio. Lunghissimo il coerente finale",,na,na,na,na,na,Italia,2,,,
,0000605-1,13.93,78,4.58,78,4.7,4★-5★,,Giovanni Terenzi,Cesanese Del Piglio Superiore Riserva Vajoscuro,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,na,,na,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14.5,2k,Pecorino di fossa – Fagiano tartufato – Tagliata di cervo al ginepro – Quaglie con guanciale croccante e tartufo – Sella di agnello in crosta – Spezzatino di manzo al pepe nero,12-15 mesi in barrique + 24 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000606,,,,,,2,2013,Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,Cesanese Del Piglio,Superiore,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,4k,nd,12 mesi in botte grande + 12 mesi in bottiglia,"Rosso rubino vivo. Profumo variegato con rimandi di marasca, susina, arancia sanguinella e viola mammola che lasciano spazio a una soffusa speziatura di pepe bianco e grafite. Palato snello, dal tannino non invadente che permette una gradevole beva. ",,na,na,na,na,na,Italia,2,,,
,0000606,,,,,,3,2016,Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,Cesanese Del Piglio,Superiore,DOCG,Lazio,87,,87,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,3k,nd,12 mesi in botte grande + 12 mesi in bottiglia,"Rosso rubino vivo. Profumo variegato con rimandi di marasca, susina, arancia sanguinella e viola mammola che lasciano spazio a una soffusa speziatura di pepe bianco e grafite. Palato snello, dal tannino non invadente che permette una gradevole beva. ",,na,na,na,na,na,Italia,2,,,
,0000606,,,,,,4,2017,Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,Cesanese Del Piglio,Superiore,DOCG,Lazio,90,,90,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,3k,Spezzatino in umido,24 mesi in botte grande + 12 mesi in bottiglia,"Rosso rubino vivo. Naso variegato di prugna disidratata e confettura di visciole, bouquet di rose e viole essiccate; spezie delicate, china e foglie di tabacco completano il quadro olfattivo. Bocca ricca ma non pesante, con tannini ben cesellati; grande freschezza gustativa che solleva la componente alcolica e invita a una nuova beva,; finale balsamico. ",,na,na,na,na,na,Italia,2,,,
