Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero,,,,,,,,,,,,,,,,
,0000003,5,2017,Fattoria le Mortelle,Maremma Toscana Cabernet Poggio Alle Nane,Maremma Toscana,Cabernet,DOC,Toscana,50-54,92,92,Rosso fermo,Cabernet Franc 70% – Cabernet Sauvignon 20% – Carmenere 10%,14,23k,Cosciotto d'agnello al forno alle erbe,16 mesi in barrique + 10 mesi in bottiglia,"Rubino intenso con una splendente sfumatura purpurea. Offre una scansione olfattiva di gran classe, con il fruttato di lampone e cassis in evidenza, accompagnato da note di rabarbaro, vaniglia, pepe nero, legno di cedro, caffè e un alito balsamico nel commiato. Il gusto poggia su una raffinata trama tannica, impreziosita da una calibrata spalla acida. La progressione è lineare e proiettata dalla sapidità verso una lunga persistenza, che ripropone un'ampia gamma di aromi.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000003,5,2018,Fattoria le Mortelle,Maremma Toscana Cabernet Poggio Alle Nane,Maremma Toscana,Cabernet,DOC,Toscana,50-54,93,93,Rosso fermo,Cabernet Franc 70% – Cabernet Sauvignon 20% – Carmenere 10%,14,24k,Carrè di agnello al forno,16 mesi in barrique + 10 mesi in bottiglia,"Rubino concentrato. La balsamicità del legno di sandalo e della scatola di sigari dà carattere al bouquet, che comprende anche ribes nero, mora di rovo, noce moscata e un tocco di cioccolato. Al palato ha struttura e scorrevolezza, i tannini sono integrati e setosi, la vena sapida agevola la beva.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000003-1,4★-5★,,Fattoria le Mortelle,Maremma Toscana Cabernet Poggio Alle Nane,Maremma Toscana,Cabernet,DOC,Toscana,50-54,na,na,Rosso fermo,Cabernet Franc – Cabernet Sauvignon – Carmenere,14,6k-24k,Costolette di agnello farcite di foie gras e tartufo in crosta di mandorle – Guancia di vitello brasato con polenta – Spezzatino di manzo – Cosciotto d'agnello al forno alle erbe – Carrè di agnello al forno,14-16 mesi in barrique + 10 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000004,4,2011,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,89,89,Rosso fermo,Corvina – Corvinone – Oseleta – Rondinella,15.5,,Braciola di cervo,18 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000004,4,2012,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,90,90,Rosso fermo,Corvina – Corvinone – Oseleta – Rondinella,15.5,,Costata di cavallo,18 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000004,4,2014,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,89,89,Rosso fermo,Corvina – Corvinone – Oseleta – Rondinella,15.5,,Filetto di cinghiale in crosta ai funghi,18 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000004,4,2015,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,89,89,Rosso fermo,Corvina – Corvinone – Oseleta – Rondinella,15.5,,Sella di cervo al ribes,18 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000004,4,2016,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,89,89,Rosso fermo,Corvina – Corvinone – Oseleta – Rondinella,15.5,,Filetto di angus,18 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000004,4,2017,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,89,89,Rosso fermo,Corvina – Corvinone – Oseleta – Rondinella,15.5,,nd,18 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000004-1,3★-5★,,Allegrini,Amarone Classico,Amarone della Valpolicella, ,DOCG,Veneto,80-84,na,na,Rosso fermo,Corvina – Rondinella – Corvinone – Croatina,15.5,,Braciola di cervo – Costata di cavallo – Filetto di cinghiale in crosta ai funghi – Sella di cervo al ribes – Filetto di angus,18 mesi in barrique,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000005,4,2011,Antolini,Amarone Classico Ca' Coato,Amarone della Valpolicella,Classico,DOCG,Veneto,50-54,89,89,Rosso fermo,,16.5,,Coscia d'anatra confit,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000005,3,2015,Antolini,Amarone Classico Ca' Coato,Amarone della Valpolicella,Classico,DOCG,Veneto,50-54,86,86,Rosso fermo,,16.5,,Bocconcini di cinghiale alle prugne,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000005,3,2016,Antolini,Amarone Classico Ca' Coato,Amarone della Valpolicella,Classico,DOCG,Veneto,50-54,87,87,Rosso fermo,,16.5,,Monte veronese stagionato,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000005-1,3★-4★,,Antolini,Amarone Classico Ca' Coato,Amarone della Valpolicella,Classico,DOCG,Veneto,50-54,na,na,Rosso fermo,,16.5,,Coscia d'anatra confit – Bocconcini di cinghiale alle prugne – Monte veronese stagionato,24 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000006,3,2012,Antolini,Amarone Classico Moropio,Amarone della Valpolicella,Classico,DOCG,Veneto,40-44,87,87,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,16.5,,Brasato al vino,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000006,3,2015,Antolini,Amarone Classico Moropio,Amarone della Valpolicella,Classico,DOCG,Veneto,40-44,86,86,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,16.5,,Pernice alla ghiotta,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000006,3,2016,Antolini,Amarone Classico Moropio,Amarone della Valpolicella,Classico,DOCG,Veneto,40-44,87,87,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,16.5,,Coscia d'oca con semi di sesamo,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000006,4,2017,Antolini,Amarone Classico Moropio,Amarone della Valpolicella,Classico,DOCG,Veneto,40-44,90,90,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,16.5,,Capriolo in teglia con funghi e polenta,24 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000006-1,3★-4★,,Antolini,Amarone Classico Moropio,Amarone della Valpolicella,Classico,DOCG,Veneto,40-44,na,na,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 15% – Molinara 5%,16.5,,Brasato al vino – Pernice alla ghiotta – Coscia d'oca con semi di sesamo – Capriolo in teglia con funghi e polenta,24 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000007,3,2012,Begali,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,45-49,86,86,Rosso fermo,,16.5,,Braciola di maiale con salsa di ribes,36 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000007,3,2013,Begali,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,45-49,86,86,Rosso fermo,,16.5,,Cacciagione allo spiedo,36 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000007,3,2015,Begali,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,45-49,87,87,Rosso fermo,,16.5,,Filetto di bue in salsa al roquefort,36 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000007,3,2016,Begali,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,45-49,87,87,Rosso fermo,,16.5,,Capriolo in umido alle mele,36 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000007,3,2017,Begali,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,45-49,88,88,Rosso fermo,,16.5,,nd,36 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000007-1,3★,,Begali,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,45-49,na,na,Rosso fermo,,16.5,,Braciola di maiale con salsa di ribes – Cacciagione allo spiedo – Filetto di bue in salsa al roquefort – Capriolo in umido alle mele,36 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000008,4,2011,Begali,Amarone Classico Riserva Monte Ca' Bianca,Amarone della Valpolicella,Classico – Riserva,DOCG,Veneto,55-59,90,90,Rosso fermo,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,16.5,,Stracotto di manzo,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000008,4,2012,Begali,Amarone Classico Riserva Monte Ca' Bianca,Amarone della Valpolicella,Classico – Riserva,DOCG,Veneto,55-59,90,90,Rosso fermo,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,16.5,,Brasato di manzo,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000008,5,2013,Begali,Amarone Classico Riserva Monte Ca' Bianca,Amarone della Valpolicella,Classico – Riserva,DOCG,Veneto,55-59,94,94,Rosso fermo,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,16.5,,Spezzatino di cervo al ginepro,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000008,4,2015,Begali,Amarone Classico Riserva Monte Ca' Bianca,Amarone della Valpolicella,Classico – Riserva,DOCG,Veneto,55-59,90,90,Rosso fermo,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,16.5,,Cosciotto di capretto al rosmarino,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000008-1,4★-5★,,Begali,Amarone Classico Riserva Monte Ca' Bianca,Amarone della Valpolicella,Classico – Riserva,DOCG,Veneto,55-59,na,na,Rosso fermo,Corvina 40% – Corvinone 35% – Rondinella 20% – Oseleta 5%,16.5,,Stracotto di manzo – Brasato di manzo – Spezzatino di cervo al ginepro – Cosciotto di capretto al rosmarino,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000009,3,2012,Benedetti Corte Antica,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,35-39,88,88,Rosso fermo,Corvina 65% – Rondinella 30% – Molinara 5%,16.5,,nd,40 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000009-1,3★,,Benedetti Corte Antica,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,35-39,na,na,Rosso fermo,Corvina 65% – Rondinella 30% – Molinara 5%,16.5,,nd,40 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000010,3,2016,Benedetti Corte Antica,Amarone Classico Etichetta Red,Amarone della Valpolicella,Classico,DOCG,Veneto,35-39,88,88,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 20%,16.5,,nd,37 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000010-1,3★,,Benedetti Corte Antica,Amarone Classico Etichetta Red,Amarone della Valpolicella,Classico,DOCG,Veneto,35-39,na,na,Rosso fermo,Corvina 40% – Corvinone 40% – Rondinella 20%,16.5,,nd,37 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000011,4,2009,Benedetti Corte Antica,Amarone Croce Del Gal Black,Amarone della Valpolicella,,DOCG,Veneto,50-54,90,90,Rosso fermo,Corvina 35% – Corvinone 35% – Rondinella 25% – Croatina 5%,17,,Controfiletto di cervo con salsa al ribes,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000011,5,2011,Benedetti Corte Antica,Amarone Croce Del Gal Black,Amarone della Valpolicella,,DOCG,Veneto,50-54,91,91,Rosso fermo,Corvina 35% – Corvinone 35% – Rondinella 25% – Croatina 5%,17,,Bocconcini di cinghiale alle prugne,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000011-1,4★-5★,,Benedetti Corte Antica,Amarone Croce Del Gal Black,Amarone della Valpolicella,,DOCG,Veneto,50-54,na,na,Rosso fermo,Corvina 35% – Corvinone 35% – Rondinella 25% – Croatina 5%,17,,Controfiletto di cervo con salsa al ribes – Bocconcini di cinghiale alle prugne,48 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000012,5,2009,Bertani,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,100-124,93,93,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Germano reale al forno,72 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000012,4,2010,Bertani,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,100-124,90,90,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Guancia di manzo al vino,84 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000012,3,2011,Bertani,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,100-124,88,88,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Sella di cervo con purè di sedano rapa,84 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000012,5,2012,Bertani,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,100-124,95,95,Rosso fermo,Corvina 80% – Rondinella 20%,15,,nd,84 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000012-1,3★-5★,,Bertani,Amarone Classico,Amarone della Valpolicella,Classico,DOCG,Veneto,100-124,na,na,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Germano reale al forno – Guancia di manzo al vino – Sella di cervo con purè di sedano rapa,72-84 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000013,3,2014,Bertani,Amarone Valpantena,Amarone della Valpolicella,Valpantena,DOCG,Veneto,45-49,88,88,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Coscia d'anatra arrosto,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000013,3,2015,Bertani,Amarone Valpantena,Amarone della Valpolicella,Valpantena,DOCG,Veneto,45-49,87,87,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Guancia di manzo al vino,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000013,3,2016,Bertani,Amarone Valpantena,Amarone della Valpolicella,Valpantena,DOCG,Veneto,45-49,87,87,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Manzo brasato con funghi,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000013,3,2017,Bertani,Amarone Valpantena,Amarone della Valpolicella,Valpantena,DOCG,Veneto,45-49,88,88,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Faraona ripiena in crosta di pancetta,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000013,3,2018,Bertani,Amarone Valpantena,Amarone della Valpolicella,Valpantena,DOCG,Veneto,45-49,88,88,Rosso fermo,Corvina 80% – Rondinella 20%,15,,nd,30 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000013-1,3★,,Bertani,Amarone Valpantena,Amarone della Valpolicella,Valpantena,DOCG,Veneto,45-49,na,na,Rosso fermo,Corvina 80% – Rondinella 20%,15,,Coscia d'anatra arrosto – Guancia di manzo al vino – Manzo brasato con funghi – Faraona ripiena in crosta di pancetta,24-30 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000014,4,2012,Brigaldara,Amarone Case Vecie,Amarone della Valpolicella,,DOCG,Veneto,40-44,90,90,Rosso fermo,Corvina 55% – Corvinone 25% – Rondinella 20%,16.5,,Guancia di manzo con purè,120 giorni di appassimento + 48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000014,3,2013,Brigaldara,Amarone Case Vecie,Amarone della Valpolicella,,DOCG,Veneto,40-44,88,88,Rosso fermo,Corvina 55% – Corvinone 25% – Rondinella 20%,16.5,,Tagliata di manzo ginepro e cumino,120 giorni di appassimento + 48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000014,4,2015,Brigaldara,Amarone Case Vecie,Amarone della Valpolicella,,DOCG,Veneto,40-44,90,90,Rosso fermo,Corvina 55% – Corvinone 25% – Rondinella 20%,16.5,,Anatra ripiena al forno,120 giorni di appassimento + 48 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000014-1,3★-4★,,Brigaldara,Amarone Case Vecie,Amarone della Valpolicella,,DOCG,Veneto,40-44,na,na,Rosso fermo,Corvina 55% – Corvinone 25% – Rondinella 20%,16.5,,Guancia di manzo con purè – Tagliata di manzo ginepro e cumino – Anatra ripiena al forno,120 giorni di appassimento + 48 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000015,4,2012,Brigaldara,Amarone Cavolo,Amarone della Valpolicella,,DOCG,Veneto,35-39,90,90,Rosso fermo,Corvina 55% – Corvinone 25% – Rondinella 20%,16,,Brasato di lepre,90 giorni di appassimento + 48 mesi in barrique e botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000015,3,2013,Brigaldara,Amarone Cavolo,Amarone della Valpolicella,,DOCG,Veneto,35-39,88,88,Rosso fermo,Corvina 55% – Corvinone 25% – Rondinella 20%,16,,Brasato ,90 giorni di appassimento + 48 mesi in barrique e botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
