Categoria-1,Ref,OLDVSCORE,RS,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000851,,,,,,5,2018,Andrea Felici,Castelli Di Jesi Verdicchio Riserva Classico Vigna Il Cantico Della Figura,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,55-59,Verdicchio 100%,13,10k,Salmone in crosta,4 mesi in acciaio,"Giallo paglierino. Intensi profumi di biancospino, mela verde e pompelmo. Richiami di erbe officinali. Al palato l'impatto è de- ciso e assordante: alcol, acidità e sale creano un equilibrio im- prontato sull'abbondanza e sulla longevità. Gli aromi si esprimo- no lentamente verso note di arancia e iodio",,na,na,na,na,na,Italia,2,,,
,0000851-1,12.27,82,1.44,46,4.6,3★-5★,,Andrea Felici,Castelli Di Jesi Verdicchio Riserva Classico Vigna Il Cantico Della Figura,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,55-59,Verdicchio 100%,13,6k-10k,Rotolo di coniglio ai pistacchi – Calamari ripieni – Baccalà al forno con patate e datterini – Tagliata di tonno su crema di zucca e zafferano – Salmone in crosta,4 mesi in acciaio + 12 in cemento + 24 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000852,,,,,,5,2013,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Utopia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,15-19,Verdicchio 100%,14,7k,Oca arrosto con patate,12 mesi in cemento,"Giallo verdolino, di ottima consistenza.  Il profumo raffinato e varietale e il sapore avvolgente sono i caratteri che disegnano la spiccata personalità di questo vino. L'originalità del vitigno  si ritrova in un intreccio di sentori di maggiorana, anice stellato e salvia Pietra focaia, pepe bianco e mandorla fanno da contorno a un bel cesto  di frutta giovane. Fresco e sapido, esuberante e molto intenso anche al gusto, si esprime con ottimo equilibrio e lunga persistenza. Armonico e di grande struttura, sicuramente sarà in grado di sfidare il tempo. Vinificato in acciaio, matura in botti di cemento per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000852,,,,,,5,2015,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Utopia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,25-29,Verdicchio 100%,14.5,10k,Gnocchetti con crema di zucchine e bottarga,12 mesi in cemento,"Giallo paglierino delicato e vivace. Lento a mostrarsi, regala all'olfatto una storia interminabile, che muta con il susseguirsi dei secondi: rosa gialla, albicocca e pesca bianca, intervallati da sandalo e coriandolo, vanno evolvendosi verso il pepe bianco e la polvere da sparo. Struttura robusta, sorretta da un'anima fresco-sapida esaltante, accompagnata da calore e morbidezza. Chiusura lunga e ammandorlata per un vino dall'armonioso equilibrio. Riposa in botti di cemento per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000852,,,,,,3,2016,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Utopia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,25-29,Verdicchio 100%,14.5,10k,Cous cous di pollo,12 mesi in cemento,"Paglierino con nobili riflessi dorati. All'olfatto spiccano vivaci sentori di ginestra e mandorla, accompagnati  da soffusi effluvi di vaniglia e stimolanti note erbacee. Struttura di grande finezza, caratterizzata da una rassicurante morbidezza ben bilanciata dalla stuzzicante freschezza. Matura in botti di cemento per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000852,,,,,,5,2018,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Utopia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,92,,92,,na,Bianco fermo,30-34,Verdicchio 100%,14,6k,Coda di rospo in potacchio,12 mesi in cemento,"Brillante oro sfumato di verde. registro odoroso che riconduce al floreale di sambuco e acacia, al vegetale di mallo di noce, all'ani- ce, al fruttato di pesca bianca e susina. Al gusto la sapidità è sor- retta da vivida freschezza e bilanciata alle note morbide. Lungo finale ammandorlato.",,na,na,na,na,na,Italia,2,,,
,0000852-1,9.28,62,1.95,62,4.5,3★-5★,,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Utopia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,30-34,Verdicchio 100%,14,6k-10k,Oca arrosto con patate – Gnocchetti con crema di zucchine e bottarga – Cous cous di pollo – Coda di rospo in potacchio,12 mesi in cemento,,,na,na,na,na,na,Italia,1,,,
,0000853,,,,,,3,2016,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Mirizzi Ergo Sum,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,60-64,Verdicchio 100%,15,1k,Galletto ruspante con salsa allo scalogno e anice,12 mesi in cemento + 48 mesi in bottiglia,"Splendido abito dorato. Al naso si  apre un intreccio prezioso di erbe aromatiche, resina di pino, genziana, frutta disidratata, camomilla in fiore, pesche macerate, cotognata, cera d'api e anice stellato. Palato possente e di grande personalità; la struttura articolata mantiene agilità e lascia spazio a freschi guizzi e soffici morbidezze. Sapidità travolgente. Riposa in cemento per 12 mesi e affina in bottiglia per 4 anni ",,na,na,na,na,na,Italia,2,,,
,0000853-1,0.34,2,0.04,1,3.0,3★,,Montecappone,Castelli Di Jesi Verdicchio Riserva Classico Mirizzi Ergo Sum,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,60-64,Verdicchio 100%,15,1k,Galletto ruspante con salsa allo scalogno e anice,12 mesi in cemento + 48 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000854,,,,,,3,2014,Tenuta Di Tavignano,Castelli Di Jesi Verdicchio Riserva Classico Misco,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,20-24,Verdicchio 100%,13.5,3k,Spaghetti con le cozze e crema di ceci,12 mesi in acciaio,"Giallo paglierino luminoso. Dotato di ottima complessità, si esprime con fiori gialli leggermente appassiti, foglia di tè, mandorla, fieno. Una sottile nota minerale accompagna accattivanti profumi di frutta esotica. Setoso  e avvolgente al palato, conferma pienamente l'eleganza percepita al naso. Chiude con una seducente struttura, ritmata da freschezza e sapidità. Sosta in acciaio per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000854,,,,,,4,2015,Tenuta Di Tavignano,Castelli Di Jesi Verdicchio Riserva Classico Misco,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,20-24,Verdicchio 100%,14,6k,Filetto di ombrina in crosta di noci e pistacchi,12 mesi in acciaio,"Paglierino chiaro, con riflessi ancora verdolini. Timide folate minerali di pietra bagnata, impreziosite da camomilla, foglie di tè e fieno, stuzzicano l'olfatto. Emerge un ricordo di mandorla. Palato snello e tonico, con equilibrio preciso e calibrato. Delizia la bocca invogliando un nuovo sorso. Riposa in acciaio per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000854,,,,,,3,2016,Tenuta Di Tavignano,Castelli Di Jesi Verdicchio Riserva Classico Misco,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,14,6k,nd,12 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000854,,,,,,3,2017,Tenuta Di Tavignano,Castelli Di Jesi Verdicchio Riserva Classico Misco,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,13.5,6k,Brodetto di pesce in bianco,12 mesi in acciaio,"Paglierino luminoso con riflessi verdolini. Apre con stuzzicanti profumi di pesca gialla, ginestra e tiglio, seguiti da gradevoli nuance di rosmarino, melissa e agrumi. Al sorso mostra un ottimo equilibrio, grazie alla suadente morbidezza e alla stimolante acidità; la beva è ulteriormente ravvivata dalla componente sapida; chiusura costellata da aromi di frutta secca. Vinificato in acciaio, per 12 mesi a contatto con le fecce fini e senza bàtonnage. ",,na,na,na,na,na,Italia,2,,,
,0000854,,,,,,5,2018,Tenuta Di Tavignano,Castelli Di Jesi Verdicchio Riserva Classico Misco,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,6k,Linguine all'astice,12 mesi in acciaio,"Paglierino luminoso. Girandola di profumi: rosa canina, geranio, tè verde, nota iodata e idrocarburi, quindi cardamomo, incenso e lieve zafferano. Spunto balsamico di eucalipto. In bocca c'è equi- librio tra morbidezza alcolica e acidità con un finale coerente ed elegante di spezie orientali.",,na,na,na,na,na,Italia,2,,,
,0000854-1,5.00,34,1.24,39,3.6,3★-5★,,Tenuta Di Tavignano,Castelli Di Jesi Verdicchio Riserva Classico Misco,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,3k-10k,Spaghetti con le cozze e crema di ceci – Filetto di ombrina in crosta di noci e pistacchi – Brodetto di pesce in bianco – Linguine all'astice,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000855,,,,,,3,2012,Vignamato,Castelli Di Jesi Verdicchio Riserva Classico Ambrosia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,4k,nd,36 mesi in acciaio,"Giallo paglierino con pregevoli riflessi dorati. Al naso prugna gialla, ginestra  e nuance di vaniglia. Al palato è avvolgente, con un'evidente alcolicità che si confronta con la spiccata sapidità. Note di frutta sotto spirito in chiusura. In acciaio per 36 mesi e parte in barrique. ",,na,na,na,na,na,Italia,2,,,
,0000855,,,,,,3,2016,Vignamato,Castelli Di Jesi Verdicchio Riserva Classico Ambrosia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,6k,Trancio di pesce spada alla griglia,12 mesi in cemento,"Paglierino smagliante con screziature verdoline. Intense le sfumature di mela, papaia e ginestra, arricchite da sfumature di mandorla. Al sorso la suadente morbidezza è pervasa da una freschezza che ravviva il gusto, supportata da un'aggraziata sapidità; termina su ritorni fruttati. Riposa in vasche di cemento, e parte in tonneau, per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000855,,,,,,5,2017,Vignamato,Castelli Di Jesi Verdicchio Riserva Classico Ambrosia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,7k,Tataki di salmone in crosta di sesamo,12 mesi in cemento,"Giallo paglierino di mirabile luminosità con pregiate screziature verdoline. Apre con invitanti profumi di mandorla tostata e mimosa, seguiti da sfumature di ginestra e cedro. All'assaggio la stimolante freschezza abbraccia un'avvolgente e adeguata alcolicità, emergendo quel tanto che basta a rendere ulteriormente appagante la beva. Una raffinata sapidità arricchisce il lungo finale, costellato di aromi di agrumi. Fermentazione in acciaio e maturazione in cemento e parte in tonneau per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000855,,,,,,5,2018,Vignamato,Castelli Di Jesi Verdicchio Riserva Classico Ambrosia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,7k,Risotto con fonduta di fossa e guanciale croccante,6 mesi in acciaio,"Luminoso paglierino con riflessi dorati. Impatto olfattivo elegan- te di fiori di sambuco e zagara, fruttato di agrumi, mango e pe- sca. Timo, erba cedrina e cenni minerali sulfurei. Il gusto è sa- pido, fresco, ben equilibrato al tono alcolico. Molto persistente, con cenni di anice e biancospino. ",,na,na,na,na,na,Italia,2,,,
,0000855-1,6.64,45,1.65,52,4.0,3★-5★,,Vignamato,Castelli Di Jesi Verdicchio Riserva Classico Ambrosia,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,4k-7k,Trancio di pesce spada alla griglia – Tataki di salmone in crosta di sesamo – Risotto con fonduta di fossa e guanciale croccante,6-36 mesi in acciaio o cemento,,,na,na,na,na,na,Italia,1,,,
,0000856,,,,,,2,2014,Casalfarneto,Castelli Di Jesi Verdicchio Riserva Classico Crisio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,84,,84,,na,Bianco fermo,15-19,Verdicchio 100%,13,10k,nd,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000856,,,,,,5,2015,Casalfarneto,Castelli Di Jesi Verdicchio Riserva Classico Crisio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,15-19,Verdicchio 100%,13,10k,Rombo chiodato con carciofi,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,"Paglierino di grande luminosità, con preziose screziature verdoline. Apre con nobili effluvi di pesca, ananas e anice, contornati da nuance di ginestra ed erba tagliata. Seguono sambuco e cedro che si integrano mirabilmente  La componente alcolica è avvolgente e ben sostenuta da una vivace  acidità e da un'intrigante sapidità, che accompagnano fino all'irresistibile epilogo di mandorla verde. Ineccepibile da subito, potrà donare ulteriori sorprese a chi avrà la pazienza di aspettare. Fermenta per metà in legno e per metà in acciaio, poi sosta in acciaio per 12 MEesi ",,na,na,na,na,na,Italia,2,,,
,0000856,,,,,,3,2016,Casalfarneto,Castelli Di Jesi Verdicchio Riserva Classico Crisio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,10k,nd,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000856,,,,,,3,2017,Casalfarneto,Castelli Di Jesi Verdicchio Riserva Classico Crisio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,10k,zuppa di seppie e ceci al rosmarino,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,"Giallo paglierino dalle brillanti striature verdoline e oro. Salmastro al naso, trascina profumi di mandarino e salvia, con nuance di fieno, pan brioche, erbe aromatiche, frutta secca e coriandolo. Equilibrio edificato sulla morbidezza, intrisa di sapidità. Gustoso già ora,  tra qualche anno raggiungerà la sua massima espressione. Riposa per metà in acciaio e per metà in tonneau per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000856,,,,,,3,2018,Casalfarneto,Castelli Di Jesi Verdicchio Riserva Classico Crisio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,88,,88,,na,Bianco fermo,15-19,Verdicchio 100%,13,10k,nd,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000856-1,4.11,28,1.62,52,3.2,2★-5★,,Casalfarneto,Castelli Di Jesi Verdicchio Riserva Classico Crisio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,15-19,Verdicchio 100%,13,10k,Rombo chiodato con carciofi – zuppa di seppie e ceci al rosmarino,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000857,,,,,,3,2015,Filodivino,Castelli Di Jesi Verdicchio Riserva Classico Dino,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,14,2k,Zuppa di farro con pancetta e funghi,18 mesi in acciaio,"Paglierino lucente. Lieve e delicato all’olfatto, diffonde profumi di zagara, miele di acacia e mandorla tostata.  Una sfumatura minerale sulfurea a concludere. La stessa leggerezza sì ritrova al gusto, segnato da gradevole freschezza. Il finale ricorda le spezie dolci. Riposa in acciaio per 18 mesi, con bàtonnage frequenti. ",,na,na,na,na,na,Italia,2,,,
,0000857,,,,,,3,2017,Filodivino,Castelli Di Jesi Verdicchio Riserva Classico Dino,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,14,4k,Baccalà con salsa verde,12 mesi in acciaio e tonneau + 18 mesi in bottiglia,"Manto dorato. Apre con ricordi di miele d'acacia, cera d'api e crema pasticciera; poi, foglia di pomodoro, tarassaco, frutta cotta, albicocca disidratata e  fiori essiccati, su un leggero sentore di buccia di arancia. Al gusto è morbido, con acidità e accenno salino equilibrati da decisa dotazione alcolica. Rimane in acciaio per 12 mesi e affina in bottiglia per 18 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000857,,,,,,3,2018,Filodivino,Castelli Di Jesi Verdicchio Riserva Classico Dino,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,15,5k,Rombo al forno con patate,18 mesi in acciaio e tonneau + 18 mesi in bottiglia,"Paglierino intenso. Ventaglio olfattivo di ananas e albicocca ma- tura, di tarassaco e mimosa, anche appassiti, con tocco erbaceo di fieno. In bocca è pieno e avvolgente, con una struttura impor- tante ben evidenziata dalla morbidezza. Le note finali sono erba- cee e tostate insieme. ",,na,na,na,na,na,Italia,2,,,
,0000857-1,1.02,7,0.31,10,3.0,3★,,Filodivino,Castelli Di Jesi Verdicchio Riserva Classico Dino,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,20-24,Verdicchio 100%,15,10k,Zuppa di farro con pancetta e funghi – Baccalà con salsa verde – Rombo al forno con patate,12-18 mesi in acciaio o tonneau + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000858,,,,,,2,2015,Vicari,Castelli Di Jesi Verdicchio Riserva Classico Oltretempo Del Pozzo Buono,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,84,,84,,na,Bianco fermo,25-29,Verdicchio 100%,14.5,3k,nd,10 mesi in acciaio + 30 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000858,,,,,,3,2016,Vicari,Castelli Di Jesi Verdicchio Riserva Classico Oltretempo Del Pozzo Buono,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,25-29,Verdicchio 100%,14.5,3k,Filetti di rombo in crosta di erbe,10 mesi in acciaio + 30 mesi in bottiglia,"Giallo dorato intenso e vivace. Nuvole  di vaniglia si alternano a soffi di burro d'alpeggio, ginestra, biscotto e pepe bianco. La sapidità è protagonista in bocca, ben accompagnata da una ancor sorprendente giovinezza. Si congeda lentamente, rimarcando aromi iodati e di frutta sciroppata. Matura in acciaio per 10 mesi, affina in bottiglia per 30 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000858-1,0.45,3,0.11,4,2.5,2★-3★,,Vicari,Castelli Di Jesi Verdicchio Riserva Classico Oltretempo Del Pozzo Buono,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,25-29,Verdicchio 100%,14.5,3k,Filetti di rombo in crosta di erbe,10 mesi in acciaio + 30 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
