Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Menzioni,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,Nazione,V,Q,Millesimo,Tecnica,Zucchero,Entry
,0001541,,,,,,2016,Valeirano,Barbaresco Valeirano,DOCG,Barbaresco,Ada Nada,Piemonte,3,20-24,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14.5,7k,24 mesi in botte,,,Italia,,,,,,2
,0001541,,,,,,2017,Valeirano,Barbaresco Valeirano,DOCG,Barbaresco,Ada Nada,Piemonte,3,20-24,Nebbiolo 100%,Brasato al Barbaresco,86,,86,,na,Rosso fermo,14.5,7k,24 mesi in botte,"Suggestivo granato. La zampata balsamica del cru dà l'imprinting, ma non mancano variegate variazioni olfattive di piccoli frutti (ribes rosso), iris, spezie: insomma, gran bel naso con sicuri margini di ottima evoluzione. Idem al palato, che ha tutto al posto giusto, senza eccessi né tannici né alcolici e un'impostazione ""nordica"" destinata ad ampie soddisfazioni: un quadro rigoroso propizio ai piaceri. Matura per 2 anni in botti da 20 ettolitri. ",,Italia,,,,,,2
IN,0001541-1,1.35,8,0.34,17,3.0,,Valeirano,Barbaresco Valeirano,DOCG,Barbaresco,Ada Nada,Piemonte,3★,20-24,Nebbiolo 100%,Sella di capriolo ai mirtilli rossi – Guanciale al Nebbiolo – Brasato al Barbaresco,na,,na,,na,Rosso fermo,14.5,7k-10k,24 mesi in botte,,,Italia,,,,,,1
,0000961,,,,,,2017,Del Comune Di La Morra,Barolo Del Comune Di La Morra,DOCG,Barolo,Agostino Bosco,Piemonte,3,25-29,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,15,3k,24 mesi in botte,,,Italia,,,,,,2
IN,0000961-1,0.34,2,0.07,3,3.0,,Del Comune Di La Morra,Barolo Del Comune Di La Morra,DOCG,Barolo,Agostino Bosco,Piemonte,3★,25-29,Nebbiolo 100%,nd,na,,na,,na,Rosso fermo,15,3k,24 mesi in botte,,,Italia,,,,,,1
,0000960,,,,,,2012,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3,40-44,Nebbiolo 100%,Costolette di maiale alle mele,85,,85,,na,Rosso fermo,14.5,3k,24 mesi in botte,"Rosso granato paradigmatico. Bel    naso, dapprima fresco e balsamico,  decisamente appagante. Classico di  rosa e viola, frutti rossi e fragolina,  spezie dolci e sussurri minerali. Il    sorso gioca sul dualismo fra tannino e  freschezza, con nitidi lampi di sapidità.  Matura per 24 mesi in botti grandi da 20  ettolitri e affina per 10 mesi in bottiglia.  ",,Italia,,,,,,2
,0000960,,,,,,2013,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3,40-44,Nebbiolo 100%,Panissa alla vercellese,86,,86,,na,Rosso fermo,14.5,3k,24 mesi in botte,"Rosso granato luminoso. Profilo  olfattivo dinamico, che spazia dalla  viola ai piccoli frutti rossi, con piacevole  sottofondo balsamico e una chiara nota  di speziatura dolce. In bocca si rivela un  tannino spavaldo che ben si amalgama  con la freschezza e la buona sapidità. In  botti grandi da 20 ettolitri per 24 mesi,  successivamente affina in bottiglia per  12 mesi.  ",,Italia,,,,,,2
,0000960,,,,,,2014,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3,35-39,Nebbiolo 100%,Risotto alle quaglie,86,,86,,na,Rosso fermo,14,2k,24 mesi in botte,"Rosso granato vivido. In apparenza  timido, si esprime progressivamente in  tutta la sua austera nobiltà: confettura  di marasca, violetta appassita, scorza  d'arancia, liquirizia vanno a braccetto  con una ben definita punteggiatura  mentolata. In bocca emerge un tannino  severo ed elegante, coadiuvato da  sferzante freschezza e persistente  sapidità. Matura in botti da 15 ettolitri  per 24 mesi  ",,Italia,,,,,,2
,0000960,,,,,,2015,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3,40-44,Nebbiolo 100%,Piccione ripieno al tartufo nero,86,,86,,na,Rosso fermo,14.5,3k,24 mesi in botte,"Rosso granato lucente. Pochi fronzoli  e tanta sostanza al naso, con un  avvicendarsi di fresche sensazioni  floreali e frutti di bosco, chiodi di  garofano, liquirizia e cenni balsamici  Lineare ed espressivo: il palato ringrazia,  allietato da freschezza e tannini  garbati, suggellati da discreta struttura  e intensità. Un plauso convinto per la  fantastica bevibilità. Riposa in botti di  legno da 15 ettolitri per 24 mesi.  ",,Italia,,,,,,2
,0000960,,,,,,2016,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3,40-44,Nebbiolo 100%,Filetto al tartufo nero di Norcia,87,,87,,na,Rosso fermo,14.5,3k,24 mesi in botte,"Rosso granato. Si rivela con riservatezza  e occorre attenderlo con pazienza  Leggiadre sensazioni balsamiche e  mentolate avvolgono una sequenza  inarrestabile di confettura di frutti di  bosco, ciliegia sotto spirito, pot-pourri,  liquirizia e cacao amaro. La sferzante  acidità sostiene un tannino caparbio e  giovanile, rivelando grande struttura e  potenzialità. Da aspettare per qualche  anno. Riposa in botti di legno da 15  ettolitri per 24 mesi.  ",,Italia,,,,,,2
,0000960,,,,,,2017,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3,40-44,Nebbiolo 100%,Fagiano in salmì,86,,86,,na,Rosso fermo,15,2k,24 mesi in botte,"Granato antico. Si rivela di grande eleganza olfattiva: una co-  stante nota mentolata accompagna la leggiadra successione di  violetta appassita, piccoli frutti rossi, liquirizia e cenni speziati.  Sorso equilibrato, in cui il tannino è ben sostenuto dall'appagan-  te freschezza. Corroborante. ",,Italia,,,,,,2
IN,0000960-1,2.03,11,0.27,13,3.0,,La Serra,Barolo La Serra,DOCG,Barolo,Agostino Bosco,Piemonte,3★,40-44,Nebbiolo 100%,Costolette di maiale alle mele – Panissa alla vercellese – Risotto alle quaglie – Piccione ripieno al tartufo nero – Filetto al tartufo nero di Norcia – Fagiano in salmì,na,,na,,na,Rosso fermo,15,2k-3k,24 mesi in botte,,,Italia,,,,,,1
,0000962,,,,,,2013,Neirane,Barolo Neirane,DOCG,Barolo,Agostino Bosco,Piemonte,3,30-34,Nebbiolo 100%,Guancia brasata,86,,86,,na,Rosso fermo,14.5,4k,24 mesi in botte,"Classico rosso granato. Si presenta    in punta di piedi, denotando una  sottile eleganza olfattiva declinata in  sentori di mirtillo, mora, viola, menta e  anice. L'iniziale sapidità lascia spazio  all'imponente tannino e a una discreta  persistenza gustativa. Matura per 24  mesi in rovere da 18 ettolitri.  ",,Italia,,,,,,2
,0000962,,,,,,2014,Neirane,Barolo Neirane,DOCG,Barolo,Agostino Bosco,Piemonte,3,30-34,Nebbiolo 100%,Filetto in crosta alla senape,86,,86,,na,Rosso fermo,14,2k,24 mesi in botte,"Limpido rosso granato. Al naso piccoli  frutti rossi, fiori secchi, noce moscata,  tabacco e cenni di torrefazione  declinano verso un corredo olfattivo  nitido e preciso. l'assaggio non tradisce,  evidenziando un tannino ancora irruente,  a cui si affianca una energica spalla  acida. Dotato della giusta stoffa per  evolvere nel tempo, verso il massimo  equilibrio. In botti da 18 ettolitri per 24  Mesi  ",,Italia,,,,,,2
,0000962,,,,,,2015,Neirane,Barolo Neirane,DOCG,Barolo,Agostino Bosco,Piemonte,3,30-34,Nebbiolo 100%,Lepre al civet,87,,87,,na,Rosso fermo,14.5,4k,24 mesi in botte,"Rosso granato di raffinata trasparenza.  Ouverture dominata da fragranze    floreali e fruttate, in una coinvolgente  successione di profumi di viola, fragoline  di bosco, melograno e prugne; seguono  liquirizia, Mmentolo e delicata speziatura.  In bocca il tannino è incisivo, ma mai  straripante, e ci ricorda che abbiamo a  che fare con un nettare dotato di grande  struttura, nervo e persistenza. Di brillante  avvenire. Fermenta in acciaio e matura  per 24 mesi in botti di legno da 20  ettolitri.  ",,Italia,,,,,,2
,0000962,,,,,,2016,Neirane,Barolo Neirane,DOCG,Barolo,Agostino Bosco,Piemonte,3,30-34,Nebbiolo 100%,Spalla di manzo brasata,86,,86,,na,Rosso fermo,14.5,4k,24 mesi in botte,"Rosso granato con screziature rubino.  L'attacco di fiori e frutta suscita  notevole curiosità: viola, fragolina di  bosco e pesca introducono un bouquet  niente affatto banale, che evolve    verso tonalità più profonde di leggera  speziatura, liquirizia e resina. Il palato  si inchina di fronte alla disinvoltura dei  tannini, fermamente presenti, ma mai  preponderanti. l'equilibrio gustativo dona  un assaggio quanto mai appagante  Fermenta in acciaio e matura per 24  mesi in botti di legno da 20 ettolitri  ",,Italia,,,,,,2
,0000962,,,,,,2017,Neirane,Barolo Neirane,DOCG,Barolo,Agostino Bosco,Piemonte,3,30-34,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,15,3k,24 mesi in botte,,,Italia,,,,,,2
IN,0000962-1,1.69,9,0.30,15,3.0,,Neirane,Barolo Neirane,DOCG,Barolo,Agostino Bosco,Piemonte,3★,30-34,Nebbiolo 100%,Guancia brasata – Filetto in crosta alla senape – Lepre al civet – Spalla di manzo brasata,na,,na,,na,Rosso fermo,15,2k-4k,24 mesi in botte,,,Italia,,,,,,1
,0001368,,,,,,2012,,Barolo,DOCG,Barolo,Alberto Voerzio,Piemonte,3,30-34,Nebbiolo 100%,Capriolo in salsa al timo,86,,86,,na,Rosso fermo,14.5,1k,30 mesi in botte,"Colore nebbiolo classico. Lo stesso per il naso, marcato da note di fiori appassiti, violetta, bacche, foglie secche, poi tipica ciliegia e lampone maturo, fragola in confettura e frutta zuccherata, e ancora fieno ed erbe. Al gusto la struttura è bella e proporzionata, ha morbidezza e tannini fitti, ottima persistenza finale. Un base davvero ottimo. Sarà al meglio dal 2019 In barrique in parte nuove per 2 anni. Primo anno di produzione: 2009. ",,Italia,,,,,,2
,0001368,,,,,,2013,,Barolo,DOCG,Barolo,Alberto Voerzio,Piemonte,3,45-49,Nebbiolo 100%,Oca arrosto,86,,86,,na,Rosso fermo,14.5,1k,30 mesi in botte,"Bellissimo rosso granato. Naso scuro e speziato, con frutta in confettura e sotto spirito a segnare l'esordio; seguono china e rabarbaro, che cedono subito il posto a sensazioni più leggiadre di frutta macerata, caramella inglese, eucalipto, spezie dolci e violetta. Il tannino è ancora tosto e si prende quasi tutta  la scena, ma si avverte il potenziale evolutivo, con freschezza e sapidità  a fare da contraltare a una struttura decisamente sostenuta. Da aspettare almeno sino al 2020. Riposa in barrique, anche usate, per 2 anni. ",,Italia,,,,,,2
IN,0001368-1,0.68,4,0.08,4,3.0,,,Barolo,DOCG,Barolo,Alberto Voerzio,Piemonte,3★,45-49,Nebbiolo 100%,Capriolo in salsa al timo – Oca arrosto,na,,na,,na,Rosso fermo,14.5,1k,30 mesi in botte,,,Italia,,,,,,1
,0001367,,,,,,2015,Castagni,Barolo Castagni,DOCG,Barolo,Alberto Voerzio,Piemonte,4,35-39,Nebbiolo 100%,Cosciotto di agnello arrosto alla menta,89,,89,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in barrique,"Il rosso rubino è chiaro e luminosissimo. Al naso si rivela subito esuberante, raccontando di fiori freschi e ventate balsamiche: la classica violetta, rosa, aghi di pino, clorofilla, erbe aromatiche, mentolo. Ancora fragrante di frutta rossa macerata, chiude serio e composto, offrendo un ricco ventaglio, con tabacco, cacao e liquirizia. Il tannino è ancora ruvido, ma svela già la sua classe; il sorso è ricco ma sempre misurato; la persistenza è da manuale. Da attendere per altri 5 anni. Maturazione in barrique di varia capacità per 2 anni ",,Italia,,,,,,2
,0001367,,,,,,2016,Castagni,Barolo Castagni,DOCG,Barolo,Alberto Voerzio,Piemonte,3,45-49,Nebbiolo 100%,Lepre al ginepro,86,,86,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in barrique,"Rosso granato ancora compatto. Timido e serio, di grande eleganza. C'è la tipica viola accompagnata da iris e peonia, frutti di bosco in confettura, china, grafite, aghi di pino pestati, pepe bianco, polvere di cacao. Il tannino è ancora tosto e in primo piano (una ragione in più per pazientare e lasciarlo riposare in cantina), ma il sorso conquista già con la sua sapida persistenza. In barrique e botti da 10 ettolitri per 2 anni ",,Italia,,,,,,2
,0001367,,,,,,2017,Castagni,Barolo Castagni,DOCG,Barolo,Alberto Voerzio,Piemonte,3,40-44,Nebbiolo 100%,Filetto di cavallo agli agrumi,86,,86,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in barrique,"Rosso granato. Timido e introverso: concede dapprima sfumature di fiori appena colti e frutta macerata. Sempre sussurrando racconta di spezie, sottobosco, legni antichi, cipria e incenso. L’assaggio lo vede decisamente più esuberante, con freschezza e sapidità a supportare un tannino già smussato. Struttura misurata per una beva appagante. Matura per 7 mesi  in acciaio e per 2 anni in barrique e botticelle. ",,Italia,,,,,,2
IN,0001367-1,1.68,9,0.22,11,3.3,,Castagni,Barolo Castagni,DOCG,Barolo,Alberto Voerzio,Piemonte,3★-4★,40-44,Nebbiolo 100%,Capriolo in salsa al timo – Oca arrosto – Capriolo in salsa al timo – Oca arrosto – Cosciotto di agnello arrosto alla menta – Lepre al ginepro – Filetto di cavallo agli agrumi,na,,na,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in barrique,,,Italia,,,,,,1
,0001366,,,,,,2012,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,4,35-39,Nebbiolo 100%,Costolette di agnello al forno,89,,89,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in botte,"Un La Serra splendido. Classico nel colore, è un Barolo dal naso soffuso, puro nei profumi fruttati di ciliegia e lampone, quasi succosi. Poi cresce  in ampiezza e libera note di menta e cioccolatino, confetture, frutta macerata, raffinati spunti balsamici. Al gusto  non manca di confermare la qualità dell'assaggio. La bocca è buona, con morbidezza e corpo, fitta di tannini maturi, lunga e fruttata in persistenza. Squisito. Dal 2020. Maturazione per 2 anni in barrique, nuove al 25 per cento. Primo anno di produzione: 2006 ",,Italia,,,,,,2
,0001366,,,,,,2013,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,4,55-59,Nebbiolo 100%,Medaglioni alla Villeroy,89,,89,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in botte,"Rosso granato compatto. Serio, introverso, quasi altero. Una lunga progressione che racconta di frutta polposa, spezie scure, legni nobili, incenso, viola, rosa, erbe aromatiche, scorza d'agrume essiccata, liquirizia. Mostra i muscoli, messi in risalto  ancora di più da un tannino a dir poco vigoroso, ma senza mai debordare: anzi, freschezza e gustosa sapidità lo portano verso l'equilibrio. Di grande persistenza e preciso nel riproporre i richiami olfattivi Pazientiamo e dimentichiamolo in cantina almeno sino al 2022. Da vigne  di appena quindici anni esposte a sud e sud-est, fermenta in acciaio e riposa per 24 mesi in barrique da 225, 228 e 300 litri. ",,Italia,,,,,,2
,0001366,,,,,,2014,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,3,45-49,Nebbiolo 100%,Filetto di bue ai pistacchi,86,,86,,na,Rosso fermo,14.5,1k,7 mesi in acciaio + 24 mesi in botte,"Il rosso rubino inizia ad avere riflessi granato. Profilo olfattivo accogliente, inizialmente giocato su tracce vegetali e balsamiche; lascia posto a una costante progressione di frutti di bosco macerati, caramella alla violetta, tabacco biondo, chinotto, scorza d'arancia, legni antichi. Preciso nel richiamare l'olfatto, ricco  e appagante, ha tannini fitti, ma ben cesellati. Passaggio in barrique per 24 mesi ",,Italia,,,,,,2
,0001366,,,,,,2015,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,3,50-54,Nebbiolo 100%,Tagliatelle al ragù d'anatra,86,,86,,na,Rosso fermo,14.5,3k,7 mesi in acciaio + 24 mesi in botte,"Rosso granato paradigmatico. Ventaglio odoroso delicato, composto da violetta essiccata, frutti di bosco macerati, china, rabarbaro, assenzio, scorzette di cedro candite, mentolo, cipria, incenso e legni antichi. Austero anche il sorso, dominato da un tannino ruggente ma di sicuro e scintillante avvenire. Ricco e appagante già ora, lo sarà in maniera esponenziale se lo si saprà attendere. Fermenta in acciaio e matura per 24 mesi in pièce da 228 litri e in botti da 10 ettolitri ",,Italia,,,,,,2
,0001366,,,,,,2016,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,3,50-54,Nebbiolo 100%,Guancia brasata,87,,87,,na,Rosso fermo,14.5,2k,7 mesi in acciaio + 24 mesi in botte,"Classico rosso granato. Dapprima reticente, avanza su un sentiero di mentolo ed eucalipto, incenso, pepe rosa e chiodi di garofano, frutta macerata, scorza d'agrume, violetta, aghi di pino. Fresco ed equilibrato nonostante la bella struttura, ha tannini rifiniti, in una progressione saporita e persistente. Malolattica in acciaio e riposo tra barrique e botti da 10 ettolitri per 24 mesi ",,Italia,,,,,,2
,0001366,,,,,,2017,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,3,55-59,Nebbiolo 100%,Stracotto d'asino,87,,87,,na,Rosso fermo,14.5,3k,7 mesi in acciaio + 24 mesi in botte,"Classicissimo granato. Cresce con i minuti e presenta una bella progressione, segnata da una piacevole freschezza: spezie, pie- tra calda, frutta rossa dolce croccante, liquirizia, violetta e gera- nio. Altrettanto fresco il sorso, gustoso di sapidità e con tannini elegantemente territoriali. Appagante.",,Italia,,,,,,2
IN,0001366-1,3.36,19,0.33,16,3.3,,La Serra,Barolo La Serra,DOCG,Barolo,Alberto Voerzio,Piemonte,3★-4★,55-59,Nebbiolo 100%,Costolette di agnello al forno – Medaglioni alla Villeroy – Filetto di bue ai pistacchi – Tagliatelle al ragù d'anatra – Guancia brasata – Stracotto d'asino,na,,na,,na,Rosso fermo,14.5,1k-3k,7 mesi in acciaio + 24 mesi in botte,,,Italia,,,,,,1
,0001511,,,,,,2013,,Barbaresco Angelo,DOCG,Barbaresco,Albino Rocca,Piemonte,3,70-74,Nebbiolo 100%,Fagiano in salsa di porcini,87,,87,,na,Rosso fermo,14.5,2k,23 mesi in botte,"Granato che pare uscito da un panneggio di Tintoretto. Propone,  a bicchiere fermo, un'intensa vena balsamica, subito spalleggiata da un preciso profumo di fragolina di bosco, e poi un elegante mix di spezie, e ancora rosa secca e viola che sfiorisce. Il sorso è antico o, meglio, intemporale, più persistente e insinuante che ampio, con coda appena amarognola, stuzzicante. Trascorre 24 mesi in botti da 20 ettolitri e il futuro è tutto suo. ",,Italia,,,,,,2
,0001511,,,,,,2014,,Barbaresco Angelo,DOCG,Barbaresco,Albino Rocca,Piemonte,4,70-74,Nebbiolo 100%,Filetto di manzo all'aceto balsamico e miele,89,,89,,na,Rosso fermo,14.5,2k,23 mesi in botte,"G!anaîo fitto. Dall'assemblaggio dei  cru Ronchi, Ovello e Montersino, è elegantissimo: ricco succo di mora, balsamico, profondità di spezie dolci. Poi al palato deflagra: sontuoso e intenso, tannico assai, ma sempre pervaso da un'irriducibile vena fruttata, pieno e lunghissimo. Vinificazione a cappello sommerso in tini di rovere per 50 giorni, poi 2 anni di botti. ",,Italia,,,,,,2
,0001511,,,,,,2015,,Barbaresco Angelo,DOCG,Barbaresco,Albino Rocca,Piemonte,3,70-74,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,14.5,2k,23 mesi in botte,,,Italia,,,,,,2
,0001511,,,,,,2016,,Barbaresco Angelo,DOCG,Barbaresco,Albino Rocca,Piemonte,5,70-74,Nebbiolo 100%,Capretto di Roccaverano al forno,93,,93,,na,Rosso fermo,14.5,2k,23 mesi in botte,"| Granato fitto. Un caleidoscopio olfattivo: mora e lampone, una nitida menta scortata da articolate e preziose fragranze balsamiche e vegetali di conifera, una viola che si espande, ma pure una delicata aromaticità di pesca. Dopo tanta eleganza ecco la forza tranquilla del palato, che ha estratto e potenza controllati con arte, e tannini scolpiti in una materia solida e insieme malleabile. La persistenza è impressionante. Fermentazione in tini di rovere austriaco per 40 giorni, poi 2 anni in botti da 20 ettolitri ",,Italia,,,,,,2
,0001511,,,,,,2017,,Barbaresco Angelo,DOCG,Barbaresco,Albino Rocca,Piemonte,5,75-79,Nebbiolo 100%,Filetti di fagiano all'arancia,95,,95,,na,Rosso fermo,14.5,2k,23 mesi in botte,"Granato fitto. Naso di fantastica complessità, che apre orizzonti amplissimi: mora e piccoli frutti macerati, aghi di pino, menta, la- vanda, erbe aromatiche, un sottobosco caldo e ferrigno. L'impo- nente struttura tannica non prevarica mai una massa fruttata in- tatta e d'impressionante persistenza.",,Italia,,,,,,2
IN,0001511-1,7.64,43,0.55,28,4.0,,,Barbaresco Angelo,DOCG,Barbaresco,Albino Rocca,Piemonte,3★-5★,75-79,Nebbiolo 100%,Fagiano in salsa di porcini – Filetto di manzo all'aceto balsamico e miele – Capretto di Roccaverano al forno – Filetti di fagiano all'arancia,na,,na,,na,Rosso fermo,14.5,2k,23 mesi in botte,,,Italia,,,,,,1
,0001513,,,,,,2015,Cottà,Barbaresco Cottà,DOCG,Barbaresco,Albino Rocca,Piemonte,5,40-44,Nebbiolo 100%,nd,91,,91,,na,Rosso fermo,14.5,2k,23 mesi in botte,"Granato tenue. Inutile nasconderlo, si dimostra un fuoriclasse già dai primi magici istanti della degustazione, screziato e profondo al naso: sensazioni di menta glaciale ed erbe aromatiche, chiodi di garofano, viola sfiorente, fragola, rabarbaro. È un piacere verificare che al palato non è affatto da meno: fine, succoso, dotato di una grana tannica da Nebbiolo di razza, capace  di disegnare un presente stuzzicante e un futuro mirabile. Non sembra finire, e soprattutto non vuoi che finisca. Matura per 2 anni in rovere da 15 ettolitri ",,Italia,,,,,,2
,0001513,,,,,,2016,Cottà,Barbaresco Cottà,DOCG,Barbaresco,Albino Rocca,Piemonte,3,40-44,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14.5,2k,23 mesi in botte,,,Italia,,,,,,2
