Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Menzioni,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0001546,,,,,,Modigliana – Riserva,2016,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,13,5k,Piccione laccato all'arancia,24 mesi in botte,"Rosso rubino. Bouquet odoroso intrigante, composto da piccoli frutti rossi, arancia, chinotto e delicati  refoli speziati. Un quadro di assaggio decisamente di classe, con freschezza profonda e una dotazione tannica raffinata; il finale lascia emergere, insieme all'integrità del frutto, suggestioni agrumate. Fermentazione in acciaio, maturazione in legni di Allier per 24 mesi, poi un anno in bottiglia. ",,Italia,2,,,
,0001546,,,,,,Modigliana – Riserva,2017,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,13,6k,Ossobuco in gremolada,24 mesi in botte,"Veste rubino lucente. Si apre al naso con delicate nuance di mirtillo in confettura, cenni di cannella, poi garofano e viola  Il sorso evidenzia un tannino ancora esuberante, sostenuto da buona freschezza. Lunga chiusura su ritorni di amarena e curcuma. Riposa in rovere per 24 mesi e affina un anno in bottiglia. ",,Italia,2,,,
,0001546,,,,,,Modigliana – Riserva,2018,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,88,,88,,na,Rosso fermo,13.5,5k,Piccione ripieno al cartoccio,24 mesi in botte,"Rosso rubino. Spettro olfattivo raffinato con ricordi nitidi di ma- rasca e viola, accompagnati da delicate spezie dolci. Il palato è ricco e voluttuoso, con tannino vellutato e a grana fine. La fre- schezza amplifica la beva vibrante e sapida, e allunga la chiosa fruttata e saporita. ",,Italia,2,,,
,0001546-1,2.69,24,1.40,25,3.2,Modigliana – Riserva,,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3★-4★,15-19,Sangiovese 100%,na,,na,,na,Rosso fermo,13.5,5k-8k,Spalla di agnello al forno – Stinco al forno con ananas e porri – Stufato di manzo – Piccione laccato all'arancia – Ossobuco in gremolada – Piccione ripieno al cartoccio,6 mesi in acciaio + 18 mesi in botte o 24 mesi in botte,,,Italia,1,,,
,0001547,,,,,,Modigliana – Riserva,2015,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2,10-14,Sangiovese 100%,83,,83,,na,Rosso fermo,12.5,20k,Spiedone romagnolo,6 mesi in acciaio,"Rosso rubino di media concentrazione. Profumi limpidi e nitidi nell'esposizione di un corredo fruttato di ciliegia e fragola. Garbata l'intensità dell'apporto floreale. Stimolante e succulento  in bocca, con un tannino giovane e vibrante. Nel finale sfuma ancora su note fresche e corroboranti di frutta rossa. Vinificato in acciaio con uso di soli lieviti indigeni. Affina per 6 mesi in bottiglia ",,Italia,2,,,
,0001547,,,,,,Modigliana – Riserva,2016,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,12.5,20k,Pasta e fagioli con le cotiche,6 mesi in acciaio,"Rubino intenso. Approccio aromatico floreale: viola e geranio, su uno sfondo appena vegetale, cui segue una nota  di ribes. In bocca si esprime con forza, notevole freschezza acida e tannini incisivi. Conclude con fraseggi minerali Fermentazione spontanea in acciaio, dove matura per 6 mesi con sosta sui lieviti per 3; in bottiglia per altri 6 mesi ",,Italia,2,,,
,0001547,,,,,,Modigliana – Riserva,2017,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,12.5,20k,Parmigiana di melanzane,6 mesi in acciaio,"Rosso porpora cupo. Fine e intenso al naso: ciliegia, prugna, mora e leggeri cenni vegetali. Al palato coniuga una discreta avvolgenza fruttata con una diffusa freschezza, mantenendo in risalto il suo profilo tannico, decisamente giovane. La beva è scorrevole, con echi di erbe aromatiche in chiusura. Vinificato in acciaio, affina per 6 mesi in bottiglia ",,Italia,2,,,
,0001547,,,,,,Modigliana – Riserva,2018,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,10-14,Sangiovese 100%,86,,86,,na,Rosso fermo,12.5,25k,Spiedone alla toscana,6 mesi in acciaio,"Rosso rubino con vivaci riflessi porpora. Al naso esprime tutti i caratteri giovanili che il colore preannuncia, con profumi di frutta rossa fragrante, violetta e pepe bianco. Il sorso è fresco e dissetante grazie al tannino e all'acidità vivaci; coinvolgente, con una chiusura di bocca saporita, dai rimandi di frutta, in perfetta sintonia con la parte olfattiva. Fermenta in acciaio, dove riposa per 6 mesi ",,Italia,2,,,
,0001547,,,,,,Modigliana – Riserva,2019,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,10-14,Sangiovese 100%,87,,87,,na,Rosso fermo,12.5,15k,Maccheroncini al ragù di cortile,6 mesi in acciaio,"Rubino vivace. Profumi orientati  su ciliegia, mora di gelso e ibisco, accompagnati da sbuffi di cannella In bocca dimostra buona intensità e pienezza, arricchito da una piacevole verve fresca e un tannino giovane e scalpitante che amplifica il frutto nel finale. Sosta per 6 mesi in acciaio ",,Italia,2,,,
,0001547,,,,,,Modigliana – Riserva,2020,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,10-14,Sangiovese 100%,88,,88,,na,Rosso fermo,12.5,20k,,6 mesi in acciaio,,,Italia,2,,,
,0001547-1,1.36,12,1.01,18,2.5,Modigliana – Riserva,,Romagna Sangiovese Superiore Balitore,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,2★-3★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,12.5,15k-20k,Spiedone romagnolo – Pasta e fagioli con le cotiche – Parmigiana di melanzane – Spiedone alla toscana – Maccheroncini al ragù di cortile,6 mesi in acciaio,,,Italia,1,,,
,0001555,,,,,,Riserva,2011,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,2,15-19,Sangiovese 100%,84,,84,,na,Rosso fermo,13.5,11k,Costoletta di castrato ai ferri,16 mesi in botte,"% Rosso granato classico. Impronta olfattiva di elegante matrice, orientata su sentori evoluti di spezie dolci, fiori appassiti, note tostate e quasi mentolate in chiusura. Il sorso è morbido, pieno ed equilibrato, con tannini fini e ben integrati. Di buona persistenza, con ritorni di spezie nel finale. Sosta per 16 mesi in rovere e affina per altri 10 in bottiglia. ",,Italia,2,,,
,0001555,,,,,,Riserva,2012,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,13.5,11k,Rollè di vitello farcito,16 mesi in botte,"Rosso granato. Elegante e intenso al naso, esibisce profumi di caramello, frutta secca, mandorle e arancia rossa Bocca vellutata e calda, dotata di gradevole freschezza e tannino ben levigato, esente da astringenze. Finale lungo con ritorni speziati di vaniglia. Vino promettente che merita un supplemento di tempo. Riposa in rovere per 16 mesi, poi sosta in bottiglia per 10. ",,Italia,2,,,
,0001555,,,,,,Riserva,2013,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,13.5,11k,,16 mesi in botte,,,Italia,2,,,
,0001555-1,0.79,7,0.41,7,2.7,Riserva,,Romagna Sangiovese Riserva Cardinala,DOC,Romagna Sangiovese,Branchini,Romagna,3★,15-19,Sangiovese 100%,na,,na,,na,Rosso fermo,13.5,11k,Costoletta di castrato ai ferri – Rollè di vitello farcito,16 mesi in botte,,,Italia,1,,,
,0001555,,,,,,Superiore,2013,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,3,10-14,Sangiovese 100%,87,,87,,na,Rosso fermo,13.5,10k,Trippa al sugo con fagioli,15 mesi in botte,"Rosso rubino con riflessi granato. Naso elegante e complesso di frutta scura, more e mirtilli, con note di tartufo e sottobosco. Al palato l'ingresso di pacata morbidezza evidenzia maturità ed evoluzione. All'apporto calorico si contrappone una quota di freschezza più che adeguata a donare lunghezza a un finale dal tono vagamente amaricante e di soddisfacente persistenza. Riposa per 15 mesi in rovere e affina per altri 6 in bottiglia ",,Italia,2,,,
,0001555,,,,,,Superiore,2014,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,4,10-14,Sangiovese 100%,89,,89,,na,Rosso fermo,13.5,10k,Tordo lardellato,15 mesi in botte,"Rosso rubino dai riflessi granato. Profumi espressivi di cannella,  vaniglia, cuoio, fiori secchi, ciliegia e  un tocco elegante di grafite. Il sorso è compatto, alcol e glicerina si intrecciano perfettamente stemperandosi nella  fitta trama dei tannini levigati. Grande corrispondenza gusto-olfattiva, in particolare nei rimandi floreali. La fresca corrente data dalla sferzata acida induce una delicata salivazione, predisponendo un riassaggio dal finale minerale. Matura per 15 mesi in rovere e affina per altri 6 in bottiglia. ",,Italia,2,,,
,0001555,,,,,,Superiore,2015,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,4,10-14,Sangiovese 100%,89,,89,,na,Rosso fermo,13.5,13k,Tagliatelle al sugo di castrato,15 mesi in botte,"Rosso rubino. Profilo olfattivo dominato da frutti e spezie: ciliegie, susine scure, rabarbaro, cannella, su un sottofondo di tabacco. Sorso avvolgente e tonico al contempo, con tannini amalgamati  a dovere e un apporto di freschezza a conferire agilità e proporzione. Calore moderato e finale duraturo. Matura in legni di rovere francese per 15 mesi, cui seguono 6 mesi di bottiglia ",,Italia,2,,,
,0001555-1,2.34,21,1.73,30,3.7,Superiore,,Romagna Sangiovese Superiore Cardinala Nuova,DOC,Romagna Sangiovese,Branchini,Romagna,3★-4★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,13.5,11k,Trippa al sugo con fagioli – Tordo lardellato – Tagliatelle al sugo di castrato,15 mesi in botte,,,Italia,1,,,
,0001554,,,,,,Superiore,2015,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,3,5-9,Sangiovese 100%,85,,85,,na,Rosso fermo,13.5,5k,Tagliatelle al ragù di lepre,12 mesi in botte grande,"| Rubino intenso che vira al granato. Profumi nitidi e ben scanditi di ciliegia sciroppata e rosa essiccata si alternano a bacche di ginepro, pepe  | nero e rosmarino. Assaggio deciso e di bell'equilibrio, dove freschezza e tannini levigati reggono egregiamente il sorso, lasciando spazio a una scia sapida nel finale. Fermenta in acciaio e matura per  ‘ un anno in botti grandi ",,Italia,2,,,
,0001554,,,,,,Superiore,2018,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,3,5-9,Sangiovese 100%,85,,85,,na,Rosso fermo,13.5,10k,Tagliatelle al ragù di cinghiale,12 mesi in botte grande,"| R!)sso rubino di buona trasparenza. Al naso emergono intriganti aromi di ciliegia, Mora, bacche di ginepro e spezie, ravvivati da viole e mentuccia. l'assaggio è teso e succoso, con tannini fini e vivaci sorretti da adeguata freschezza; epilogo lungo e saporito. Fermenta in acciaio e matura per 12 mesi in botti grandi ",,Italia,2,,,
,0001554,,,,,,Superiore,2019,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,2,5-9,Sangiovese 100%,84,,84,,na,Rosso fermo,13.5,10k,,8 mesi in acciaio,,,Italia,2,,,
,0001554-1,0.79,7,1.00,18,2.7,Superiore,,Romagna Sangiovese Superiore Contragrande,DOC,Romagna Sangiovese,Branchini,Romagna,2★-3★,5-9,Sangiovese 100%,na,,na,,na,Rosso fermo,13.5,5k-10k,Tagliatelle al ragù di lepre – Tagliatelle al ragù di cinghiale,8 mesi in acciaio o 12 mesi in botte grande,,,Italia,1,,,
,0001558,,,,,,Bertinoro – Riserva,2013,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2,15-19,Sangiovese 100%,84,,84,,na,Rosso fermo,14,4k,Tasca di vitello con funghi,12 mesi in acciaio + 12 mesi in botte,"| Rubino tendente al granato. Aromi nitidi e vigorosi: amarene candite, cioccolato bianco e baccello di vaniglia. Il sorso è pieno, energico nel tannino, bilanciato a fatica dall'incedere caldo offerto da una generosa alcolicità. Finale lungo e saporito, con ritorni fruttati; il tannino risulta ancora un po' astringente. Il tempo lenirà le esuberanze. Vinificato in acciaio, matura per 2 anni in legno piccolo e affina per 6 mesi in bottiglia. ",,Italia,2,,,
,0001558,,,,,,Bertinoro – Riserva,2015,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,14,4k,,12 mesi in acciaio + 12 mesi in botte,,,Italia,2,,,
,0001558,,,,,,Bertinoro – Riserva,2016,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,14,4k,Carrè di agnello lardellato,24 mesi in botte grande,"Rosso rubino con riflessi granato Distinti aromi di prugna rossa, anche  in confettura, con ricordi di pepe  nero e ginepro. Generoso al palato, caratterizzato da una certa opulenza, una robusta trama tannica e una diffusa sapidità. C'è una grande materia alla base di questo solido rosso, cui occorre ancora un periodo di assestamento  per raggiungere un equilibrio ottimale. Interessante. Riposa in legni di diversa capacità per 2 anni ",,Italia,2,,,
,0001558,,,,,,Bertinoro – Riserva,2017,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,15-19,Sangiovese 100%,86,,86,,na,Rosso fermo,14,3k,Tagliata di mora romagnola alle erbe,24 mesi in botte grande,,,Italia,2,,,
,0001558-1,1.13,10,0.59,10,2.8,Bertinoro – Riserva,,Romagna Sangiovese Bertinoro Riserva Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2★-3★,15-19,Sangiovese 100%,na,,na,,na,Rosso fermo,14,3k-4k,Tasca di vitello con funghi – Carrè di agnello lardellato – Tagliata di mora romagnola alle erbe,12 mesi in acciaio + 12 mesi in botte o 24 mesi in botte grande,,,Italia,1,,,
,0001559,,,,,,nd,2017,Romagna Sangiovese Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,13,6k,Vellutata di porcini e cardoncelli con crostone,14 mesi in botte grande,"Rubino fitto con riflessi granato. Si concede al naso con generose tonalità di viole essiccate, frutti rossi in confettura, in una cornice di leggera speziatura.  In bocca è sfaccettato, con tannini integrati, freschezza slanciata e un  lungo finale dagli echi fruttati. Vinificato in acciaio, matura in botti grandi di Slavonia per 14 mesi. ",,Italia,2,,,
,0001559-1,0.12,1,0.09,1,2.0,nd,,Romagna Sangiovese Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,3★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,13,15k,Vellutata di porcini e cardoncelli con crostone,14 mesi in botte grande,,,Italia,1,,,
,0001561,,,,,,nd,2017,Romagna Sangiovese Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,13,6k,Vellutata di porcini e cardoncelli con crostone,14 mesi in botte grande,"Rubino fitto con riflessi granato. Si concede al naso con generose tonalità di viole essiccate, frutti rossi in confettura, in una cornice di leggera speziatura.  In bocca è sfaccettato, con tannini integrati, freschezza slanciata e un  lungo finale dagli echi fruttati. Vinificato in acciaio, matura in botti grandi di Slavonia per 14 mesi. ",,Italia,2,,,
,0001561-1,0.23,2,0.17,3,2.0,nd,,Romagna Sangiovese Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,2★-3★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,13,6k-12k,Tasca di vitello con funghi – Carrè di agnello lardellato – Tagliata di mora romagnola alle erbe – Vellutata di porcini e cardoncelli con crostone – Vellutata di porcini e cardoncelli con crostone – Vellutata di porcini e cardoncelli con crostone,14-16 mesi in botte grande,,,Italia,1,,,
,0001562,,,,,,Riserva,2017,Romagna Sangiovese Riserva Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,1,10-14,Sangiovese 100%,79,,79,,na,Rosso fermo,13,4k,,-,,,Italia,2,,,
,0001562-1,0.00,0,0.00,0,1.0,Riserva,,Romagna Sangiovese Riserva Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,1★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,13,4k,,-,,,Italia,1,,,
,0001561,,,,,,San Vicinio,2014,Romagna Sangiovese San Vicinio Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,3,10-14,Sangiovese 100%,86,,86,,na,Rosso fermo,13.5,8k,Lasagne al forno,16 mesi in botte grande,"[ Rubino lucente di media estrazione. Naso che esprime in esordio sentori prevalentemente fruttati, su tutti ciliegie e susine rosse, fragranti e succulente. Presenta anche una componente floreale, seppur più defilata. l'assaggio si sviluppa in modo assai dinamico, rinfrescante e agile, con un tannino vibrante e amalgamato nella trama. Vino dal tratto giovanile e convincente nella confezione. Maturazione condotta in botti grandi di rovere di Slavonia da 35 ettolitri per 16 mesi, cui segue un breve affinamento in bottiglia. ",,Italia,2,,,
,0001561,,,,,,San Vicinio,2015,Romagna Sangiovese San Vicinio Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,3,10-14,Sangiovese 100%,87,,87,,na,Rosso fermo,13,12k,Arista al forno con verdure,14 mesi in botte grande,"[Rosso rubino vivace. Ventaglio olfattivo composto da richiami di ciliegia, susina, petali di violetta, completati da una leggera speziatura. All'assaggio dimostra una buona scorrevolezza, con tannini vivaci e una freschezza piuttosto esuberante che accompagna a un finale leggermente ammandorlato. Passaggio in botti grandi di rovere di Slavonia per 14 mesi, affina poi per 3 mesi in bottiglia ",,Italia,2,,,
,0001561,,,,,,San Vicinio,2016,Romagna Sangiovese San Vicinio Monte Sasso,DOC,Romagna Sangiovese,Braschi,Romagna,4,10-14,Sangiovese 100%,89,,89,,na,Rosso fermo,13.5,7k,Pappardelle al sugo di lepre,14 mesi in botte grande,"Rosso rubino di media consistenza. Incipit di prugna, mora e petali di viola; seguono suadenti accenni di cannella  e macis. L'entrata al palato evidenzia tannini vivaci, di qualità, avvolti da una coltre fruttata. Il contributo fresco- sapido rende la beva bilanciata e dinamica. Matura per un anno tra legno grande e acciaio, poi segue un altro anno di affinamento in bottiglia. ",,Italia,2,,,
,0001557,,,,,,Superiore,2015,Romagna Sangiovese Superiore Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,13.5,15k,Involtini di carne al sugo,12 mesi in acciaio + 12 mesi in botte,"r7 Rosso rubino. Delicati accenni vegetali ed erbacei al naso, alternati a profumi di spezie e frutti neri. Ben delineato l'assaggio, con tannini integrati. Ha acidità vivace e un tocco finale molto saporito. Chiusura proporzionata Notevole bevibilità. Riposa per un anno in legni grandi e acciaio; breve affinamento in bottiglia. ",,Italia,2,,,
,0001557,,,,,,Superiore,2016,Romagna Sangiovese Superiore Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,13.5,10k,,12 mesi in acciaio + 12 mesi in botte,,,Italia,2,,,
,0001557,,,,,,Superiore,2017,Romagna Sangiovese Superiore Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,14,10k,,12 mesi in acciaio + 12 mesi in botte,"Manto granato di buona trasparenza.  Si distinguono vivide sensazioni di giacinto, garofano e melagrana; erbe aromatiche e spezie dolci completano il profilo olfattivo accattivante. Il sorso è scorrevole, dotato di ottima freschezza  e lunga persistenza, che sfuma su tratti vegetali e floreali. Riposa per 24 mesi in botti grandi. ",,Italia,2,,,
,0001557,,,,,,Superiore,2018,Romagna Sangiovese Superiore Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,13.5,10k,,12 mesi in acciaio + 12 mesi in botte,"Manto granato di buona trasparenza.  Si distinguono vivide sensazioni di giacinto, garofano e melagrana; erbe aromatiche e spezie dolci completano il profilo olfattivo accattivante. Il sorso è scorrevole, dotato di ottima freschezza  e lunga persistenza, che sfuma su tratti vegetali e floreali. Riposa per 24 mesi in botti grandi. ",,Italia,2,,,
,0001557,,,,,,Superiore,2019,Romagna Sangiovese Superiore Il Costone,DOC,Romagna Sangiovese,Braschi,Romagna,3,10-14,Sangiovese 100%,86,,86,,na,Rosso fermo,14,10k,,12 mesi in acciaio + 12 mesi in botte,,,Italia,2,,,
